volume_author,bestseller_author,aRatio,trunc_volumetitle,volume_title,trunc_bestsellertitle,bestseller_title,tRatio,original_tRaio,volume_year,bestseller_year,docid
"rice, anne","rice, anne",100,vampire armand,the vampire armand by anne rice.,vampire armand,the vampire armand,100,100,1998.0,1998,mdp.39015039049385
"wharton, edith","wharton, edith",100,age of innocence,"the age of innocence, by edith wharton ...",age of innocence,the age of innocence,100,100,1920.0,1921,nyp.33433076079080
"winsor, kathleen","winsor, kathleen",100,forever amber,forever amber.,forever amber,forever amber,100,100,1944.0,1945,mdp.39015010387036
"werfel, franz","werfel, franz",100,song of bernadette,song of bernadette translated by ludwig lewisohn.,song of bernadette,the song of bernadette,100,100,1942.0,1943,mdp.39015005757706
"west, rebecca, dame","west, rebecca",81,thinking reed,the thinking reed.,thinking reed,the thinking reed,100,100,1936.0,1936,uc1.$b105882
"walpole, hugh, sir","walpole, hugh",84,rogue herries,rogue herries.,rogue herries,rogue herries,100,100,1935.0,1930,uc1.b4080296
"wolfe, thomas","wolfe, thomas",100,of time and the river,"of time and the river, a legend of man's hunger in his youth,",of time and the river,of time and the river,100,100,1935.0,1935,uc1.b4078729
"wilder, thornton","wilder, thornton",100,heaven's my destination,heaven's my destination.,heaven's my destination,heaven's my destination,100,100,1935.0,1935,uc1.b4082899
"werfel, franz","werfel, franz",100,forty days of musa dagh,forty days of musa dagh.,forty days of musa dagh,the forty days of musa dagh,100,100,1934.0,1935,mdp.39015000604101
"wilder, thornton","wilder, thornton",100,woman of andros,"the woman of andros, by thornton wilder.",woman of andros,the woman of andros,100,100,1930.0,1930,mdp.39015029924084
"wister, owen","wister, owen",100,lady baltimore,lady baltimore.,lady baltimore,lady baltimore,100,100,1928.0,1906,uc1.$b799867
"wilder, thornton","wilder, thornton",100,bridge of san luis rey,the bridge of san luis rey... illustrated by amy drevenstedt.,bridge of san luis rey,the bridge of san luis rey,100,100,1927.0,1928,mdp.39015008251194
"wharton, edith","wharton, edith",100,twilight sleep,twilight sleep [by] edith wharton...,twilight sleep,twilight sleep,100,100,1927.0,1927,uc1.$b245139
"white, stewart edward","white, stewart edward",100,silent places,the silent places; [a story] by stewart edward white; illustrated by philip r. goodwin.,silent places,the silent places,100,100,1926.0,1904,mdp.39015063974698
"wright, harold bell","wright, harold bell",100,mine with the iron door,"the mine with the iron door; a romance, by harold bell wright.",mine with the iron door,the mine with the iron door,100,100,1923.0,1923,uc1.$b243730
"wright, harold bell","wright, harold bell",100,helen of the old house,helen of the old house,helen of the old house,helen of the old house,100,100,1921.0,1922,uc2.ark+=13960=t01z41z3p
"webster, henry kitchell","webster, henry kitchell",100,real adventure,"the real adventure, a novel by henry kitchell webster, illustrations by r.m. crosby.",real adventure,the real adventure,100,100,1916.0,1916,nyp.33433076072879
"tarkington, booth","tarkington, booth",100,claire ambler,claire ambler /,claire ambler,claire ambler,100,100,1928.0,1928,mdp.39015031304689
"wright, harold bell","wright, harold bell",100,when a man's a man,"when a man's a man a novel, by harold bell wright ...  with illustrations and decorations by the author.",when a man's a man,when a man's a man,100,100,1916.0,1916,nyp.33433074797410
"webster, henry kitchell","webster, henry kitchell",100,real adventure,the real adventure;,real adventure,the real adventure,100,100,1916.0,1916,uc2.ark+=13960=t8cf9jv1m
"wright, harold bell","wright, harold bell",100,eyes of the world,the eyes of the world a novel by harold bell wright ; with illustrations by f. graham cootes.,eyes of the world,the eyes of the world,100,100,1914.0,1914,uc1.b3727921
"wright, harold bell","wright, harold bell",100,their yesterdays,their yesterdays by harold bell wright ; with illustrations by f. graham cootes.,their yesterdays,their yesterdays,100,100,1912.0,1912,nyp.33433074797394
"wright, harold bell","wright, harold bell",100,winning of barbara worth,the winning of barbara worth,winning of barbara worth,the winning of barbara worth,100,100,1911.0,1912,uc2.ark+=13960=t6tx36f8h
"wister, owen","wister, owen",100,lady baltimore,lady baltimore,lady baltimore,lady baltimore,100,100,1906.0,1906,uc2.ark+=13960=t9f47jb2d
"ward, mary augusta","ward, mary augusta",100,marriage of william ashe,the marriage of william ashe,marriage of william ashe,the marriage of william ashe,100,100,1905.0,1905,uc2.ark+=13960=t5z60rd5t
"wharton, edith","wharton, edith",100,house of mirth,"the house of mirth, by edith wharton ; with illustrations by a. b. wenzell.",house of mirth,the house of mirth,100,100,1905.0,1906,uc1.32106002154331
"wiggin, kate douglas smith","wiggin, kate douglas",87,rose o' the river,"rose o' the river, by kate douglas wiggin; illustrated by george wright.",rose o' the river,rose o' the river,100,100,1905.0,1905,mdp.39015063958998
"white, stewart edward","white, stewart edward",100,silent places,the silent places by stewart edward white ; illustrated by philip r. goodwin.,silent places,the silent places,100,100,1904.0,1904,uc1.b3727429
"ward, mary augusta","ward, mary augusta",100,lady rose's daughter,"lady rose's daughter; a novel, by mrs. humphry ward ... illustrated by howad chandler christy.",lady rose's daughter,lady rose's daughter,100,100,1903.0,1903,uc1.b3549031
"tan, amy","tan, amy",100,kitchen god's wife,the kitchen god's wife amy tan.,kitchen god's wife,the kitchen god's wife,100,100,1991.0,1991,mdp.39015046353481
"turnbull, agnes sligh","turnbull, agnes sligh",100,gown of glory,the gown of glory.,gown of glory,the gown of glory,100,100,1954.0,1952,mdp.39015008839709
"thompson, morton","thompson, morton",100,not as a stranger,not as a stranger.,not as a stranger,not as a stranger,100,100,1954.0,1955,uc1.$b120096
"wolfe, thomas","wolfe, thomas",100,of time and the river,"of time and the river; a legend of man's hunger in his youth, by thomas wolfe ...",of time and the river,of time and the river,100,100,1938.0,1935,mdp.39015030041886
"williams, ben ames","williams, ben ames",100,leave her to heaven,"leave her to heaven, by ben ames williams.",leave her to heaven,leave her to heaven,100,100,1944.0,1944,coo.31924014518330
"williams, ben ames","williams, ben ames",100,house divided,house divided.,house divided,house divided,100,100,1947.0,1947,mdp.39015016902705
"wouk, herman","wouk, herman",100,caine mutiny,the caine mutiny a novel of world war ii by herman wouk.,caine mutiny,the caine mutiny,100,100,1951.0,1952,umn.31951002008189b
"bradford, barbara taylor","bradford, barbara taylor",100,everything to gain,everything to gain barbara taylor bradford.,everything to gain,everything to gain,100,100,1994.0,1994,mdp.39015032592712
"bellow, saul","bellow, saul",100,humboldt's gift,humboldt's gift saul bellow.,humboldt's gift,humboldt's gift,100,100,1975.0,1975,mdp.39015001817553
"brinkley, william","brinkley, william",100,don't go near the water,don't go near the water.,don't go near the water,don't go near the water,100,100,1956.0,1956,mdp.39015018613631
"basso, hamilton","basso, hamilton",100,view from pompey's head,the view from pompey's head.,view from pompey's head,the view from pompey's head,100,100,1954.0,1954,mdp.39015005306348
"bristow, gwen","bristow, gwen",100,jubilee trail,jubilee trail.,jubilee trail,jubilee trail,100,100,1950.0,1950,mdp.39015012209816
"bromfield, louis","bromfield, louis",100,mrs. parkington,mrs. parkington by louis bromfield.,mrs. parkington,mrs. parkington,100,100,1943.0,1943,mdp.39015030851136
"bromfield, louis","bromfield, louis",100,night in bombay,"night in bombay, by louis bromfield.",night in bombay,night in bombay,100,100,1940.0,1940,mdp.39015030851110
"bottome, phyllis","bottome, phyllis",100,mortal storm,the mortal storm.,mortal storm,the mortal storm,100,100,1938.0,1938,uc1.$b86042
"barnes, margaret ayer","barnes, margaret ayer",100,within this present,"within this present, by margaret ayer barnes ...",within this present,within this present,100,100,1933.0,1934,uc1.$b56317
"brush, katharine","brush, katharine",100,young man of manhattan,young man of manhattan by katharine brush.,young man of manhattan,young man of manhattan,100,100,1930.0,1930,uc1.$b323471
"bromfield, louis","bromfield, louis",100,twenty-four hours,"twenty-four hours, by louis bromfield.",twenty-four hours,twenty-four hours,100,100,1930.0,1930,mdp.39015030851060
"barnes, margaret ayer","barnes, margaret ayer",100,years of grace,years of grace.,years of grace,years of grace,100,100,1930.0,1931,mdp.39015005332708
"bromfield, louis","bromfield, louis",100,a good woman,"a good woman, by louis bromfield.",a good woman,a good woman,100,100,1927.0,1927,uc1.$b322854
"bacheller, irving addison","bacheller, irving",81,a man for the ages,a man for the ages,a man for the ages,a man for the ages,100,100,1919.0,1920,uc2.ark+=13960=fk4th8bt3z
"bacheller, irving addison","bacheller, irving",81,a man for the ages,a man for the ages a story of the builders of democracy by irving bacheller illustrated by john wolcott adams.,a man for the ages,a man for the ages,100,100,1919.0,1920,mdp.49015000507567
"bacheller, irving addison","bacheller, irving",81,light in the clearing,the light in the clearing;,light in the clearing,the light in the clearing,100,100,1917.0,1917,uc2.ark+=13960=t2697103t
"beach, rex","beach, rex",100,silver horde,"the silver horde; a novel, by rex beach ... illustrated by harvey t. dunn.",silver horde,the silver horde,100,100,1909.0,1909,nyp.33433074837448
"wouk, herman","wouk, herman",100,war and remembrance,war and remembrance a novel by herman wouk.,war and remembrance,war and remembrance,100,100,1978.0,1978,uc1.b4951171
"wouk, herman","wouk, herman",100,winds of war,"the winds of war; a novel, by herman wouk.",winds of war,the winds of war,100,100,1971.0,1972,inu.30000006670925
"wallace, irving","wallace, irving",100,seven minutes,the seven minutes; a novel.,seven minutes,the seven minutes,100,100,1969.0,1969,uc1.$b146911
"west, morris l","west, morris l.",97,tower of babel,"the tower of babel; a novel, by morris l. west.",tower of babel,the tower of babel,100,100,1968.0,1968,mdp.39015046829993
"wolfe, thomas","wolfe, thomas",100,of time and the river,of time and the river young faustus. telemachus with an introd. by c. hugh holman.,of time and the river,of time and the river,100,100,1938.0,1935,pst.000030286917
"wouk, herman","wouk, herman",100,don't stop the carnival,don't stop the carnival herman wouk.,don't stop the carnival,don't stop the carnival,100,100,1965.0,1965,mdp.39015001698649
"west, morris l","west, morris l.",97,shoes of the fisherman,"the shoes of the fisherman, a novel.",shoes of the fisherman,the shoes of the fisherman,100,100,1963.0,1963,mdp.39015050822090
"wouk, herman","wouk, herman",100,caine mutiny,the caine mutiny.,caine mutiny,the caine mutiny,100,100,1951.0,1952,mdp.39015046364652
"wouk, herman","wouk, herman",100,youngblood hawke,youngblood hawke a novel by herman wouk.,youngblood hawke,youngblood hawke,100,100,1962.0,1962,uc1.b4082359
"walpole, hugh, sir","walpole, hugh",84,rogue herries,"rogue herries, a novel.",rogue herries,rogue herries,100,100,1941.0,1930,uc1.32106011861538
"west, morris l","west, morris",92,daughter of silence,daughter of silence.,daughter of silence,daughter of silence,100,100,1961.0,1961,mdp.39015053232107
"wouk, herman","wouk, herman",100,marjorie morningstar,marjorie morningstar.,marjorie morningstar,marjorie morningstar,100,100,1955.0,1955,uc1.32106002157912
"turnbull, agnes sligh","turnbull, agnes sligh",100,bishop's mantle,the bishop's mantle.,bishop's mantle,the bishop's mantle,100,100,1948.0,1948,mdp.39076000876305
"thompson, sylvia","thompson, sylvia",100,hounds of spring,"the hounds of spring,",hounds of spring,the hounds of spring,100,100,1926.0,1926,uc1.32106002017793
"little, frances","little, frances",100,lady of the decoration,"the lady of the decoration, by frances little [pseud.]",lady of the decoration,the lady of the decoration,100,100,1906.0,1907,mdp.39015021067031
"l'amour, louis","l'amour, louis",100,lonesome gods,the lonesome gods louis l'amour.,lonesome gods,the lonesome gods,100,100,1983.0,1983,uc1.b4384858
"o'hara, john","o'hara, john",100,from the terrace,from the terrace a novel by john o'hara.,from the terrace,from the terrace,100,100,1958.0,1958,mdp.39015000551310
"o'hara, john","o'hara, john",100,ten north frederick,ten north frederick john o'hara.,ten north frederick,ten north frederick,100,100,1955.0,1955,mdp.39015000594930
"o'hara, john","o'hara, john",100,a rage to live,a rage to live john o'hara.,a rage to live,a rage to live,100,100,1949.0,1949,mdp.39015000551153
"oppenheim, e. phillips (edward phillips)","oppenheim, e. phillips",71,great impersonation,the great impersonation,great impersonation,the great impersonation,100,100,1920.0,1920,uc2.ark+=13960=t4kk9mx8v
"evans, nicholas","evans, nicholas",100,horse whisperer,the horse whisperer nicholas evans.,horse whisperer,the horse whisperer,100,100,1995.0,1995,mdp.39015034912363
"evans, richard paul","evans, richard paul",100,christmas box,the christmas box richard paul evans.,christmas box,the christmas box,100,100,1993.0,1995,mdp.39015037305821
"esquivel, laura","esquivel, laura",100,like water for chocolate,"like water for chocolate a novel in monthly installments, with recipes, romances, and home remedies laura esquivel ; translated by carol christensen and thomas christensen.",like water for chocolate,like water for chocolate,100,100,1992.0,1993,mdp.39015029876888
"eco, umberto","eco, umberto",100,name of the rose,the name of the rose umberto eco ; [translated from the italian by william weaver],name of the rose,the name of the rose,100,100,1983.0,1983,wu.89085145860
"edmonds, walter dumaux","edmonds, walter d.",85,drums along the mohawk,"drums along the mohawk,",drums along the mohawk,drums along the mohawk,100,100,1937.0,1937,uc1.b3687674
"le carré, john","le carre, john",93,a perfect spy,a perfect spy by john le carré,a perfect spy,a perfect spy,100,100,1986.0,1986,uc1.32106018253754
"levin, ira","levin, ira",100,rosemary's baby,rosemary's baby ira levin ; with a new afterword by the author.,rosemary's baby,rosemary's baby,100,100,1967.0,1967,mdp.39015056848560
"lindbergh, anne morrow","lindbergh, anne morrow",100,dearly beloved,dearly beloved anne morrow lindbergh ; foreword by joan anderson.,dearly beloved,dearly beloved,100,100,2001.0,1962,mdp.39015058729354
"ludlum, robert","ludlum, robert",100,matarese countdown,the matarese countdown robert ludlum.,matarese countdown,the matarese countdown,100,100,1997.0,1997,mdp.39015040575493
"l'amour, louis","l'amour, louis",100,walking drum,the walking drum louis l'amour.,walking drum,the walking drum,100,100,1984.0,1984,pst.000032233711
"le carré, john","le carre, john",93,smiley's people,smiley's people john le carré.,smiley's people,smiley's people,100,100,1979.0,1979,mdp.39015051828823
"train, arthur cheney","train, arthur",79,his children's children,his children's children by arthur train.,his children's children,his children's children,100,100,1923.0,1923,uc1.$b312694
"le carré, john","le carre, john",93,honourable schoolboy,the honourable schoolboy john le carré.,honourable schoolboy,the honourable schoolboy,100,100,1977.0,1977,mdp.39015047521110
"le carré, john","le carre, john",93,a small town in germany,a small town in germany [by] john le carre.,a small town in germany,a small town in germany,100,100,1968.0,1968,uc1.32106002026844
"lindbergh, anne morrow","lindbergh, anne morrow",100,dearly beloved,dearly beloved; a theme and variations.,dearly beloved,dearly beloved,100,100,1962.0,1962,mdp.39015048890241
"stewart, mary","stewart, mary",100,this rough magic,this rough magic.,this rough magic,this rough magic,100,100,1943.0,1964,mdp.39076005055640
"lockridge, ross","lockridge, ross jr.",88,raintree county,"raintree county ross lockridge, jr.",raintree county,raintree county,100,100,1948.0,1948,pst.000022671783
"lockridge, ross","lockridge, ross jr.",88,raintree county,"raintree county ... which had no boundaries in time and space, where lurked musical and strange names and mythical and lost peoples, and which was itself only a name musical and strange.",raintree county,raintree county,100,100,1948.0,1948,mdp.39015005595247
"lewis, sinclair","lewis, sinclair",100,kingsblood royal,kingsblood royal sinclair lewis.,kingsblood royal,kingsblood royal,100,100,1947.0,1947,mdp.39015066057715
"lewis, sinclair","lewis, sinclair",100,cass timberlane,cass timberlane a novel of husbands and wives by sinclair lewis.,cass timberlane,cass timberlane,100,100,1945.0,1945,mdp.39015048880945
"langley, adria locke","langley, adria locke",100,a lion is in the streets,"a lion is in the streets, a novel by adria locke langley.",a lion is in the streets,a lion is in the streets,100,100,1945.0,1945,mdp.39015000628977
"llewellyn, richard","llewellyn, richard",100,how green was my valley,how green was my valley.,how green was my valley,how green was my valley,100,100,1940.0,1940,mdp.39015016708177
"lewis, sinclair","lewis, sinclair",100,it can't happen here,"it can't happen here; a novel, by sinclair lewis.",it can't happen here,it can't happen here,100,100,1935.0,1936,mdp.39015008493556
"lewis, sinclair","lewis, sinclair",100,elmer gantry,"elmer gantry, by sinclair lewis.",elmer gantry,elmer gantry,100,100,1927.0,1927,mdp.39015008361134
"locke, william john","locke, william j.",89,fortunate youth,"the fortunate youth, by william j. locke; illustrations by arthur i. keller.",fortunate youth,the fortunate youth,100,100,1914.0,1914,nyp.33433074879481
"locke, william john","locke, william j.",89,simon the jester,simon the jester by william j. locke ; with four illustrations by james montgomery flagg.,simon the jester,simon the jester,100,100,1910.0,1910,mdp.39015063938933
"o'hara, john","o'hara, john",100,sermons and soda-water,sermons and soda-water.,sermons and soda-water,sermons and soda-water,100,100,1960.0,1960,uc1.b3346998
"o'hara, john","o'hara, john",100,ourselves to know,ourselves to know a novel by john o'hara.,ourselves to know,ourselves to know,100,100,1960.0,1960,mdp.39015000551138
"o'hara, john","o'hara, john",100,ourselves to know,ourselves to know john o'hara.,ourselves to know,ourselves to know,100,100,1960.0,1960,inu.30000114449469
"o'connor, edwin","o'connor, edwin",100,edge of sadness,the edge of sadness edwin o'connor ; illustrated by robert heindel.,edge of sadness,the edge of sadness,100,100,1961.0,1961,inu.30000123932489
"tarkington, booth","tarkington, booth",100,gentle julia,gentle julia by booth tarkington ; illustrated by c. allan gilbert and worth brehm.,gentle julia,gentle julia,100,100,1922.0,1922,mdp.39015063926870
"tarkington, booth","tarkington, booth",100,two vanrevels,the two vanrevels,two vanrevels,the two vanrevels,100,100,1902.0,1902,uc2.ark+=13960=t96689c59
"thompson, maurice","thompson, maurice",100,alice of old vincennes,alice of old vincennes by maurice thompson ; illustrations by f.c. yohn.,alice of old vincennes,alice of old vincennes,100,100,1900.0,1901,nyp.33433076080732
"grey, zane","grey, zane",100,to the last man,to the last man zane grey ; illustrations by frank spaulding.,to the last man,to the last man,100,100,1939.0,1922,pst.000065617298
"grisham, john","grisham, john",100,street lawyer,the street lawyer john grisham.,street lawyer,the street lawyer,100,100,1998.0,1998,mdp.39015054024453
"grisham, john","grisham, john",100,pelican brief,the pelican brief john grisham.,pelican brief,the pelican brief,100,100,1992.0,1992,mdp.39015029244657
"greene, graham","greene, graham",100,human factor,the human factor graham greene.,human factor,the human factor,100,100,1978.0,1978,mdp.39015031606463
"greene, graham","greene, graham",100,honorary consul,the honorary consul graham greene.,honorary consul,the honorary consul,100,100,1973.0,1973,mdp.39015008295845
"greene, graham","greene, graham",100,travels with my aunt,travels with my aunt; a novel.,travels with my aunt,travels with my aunt,100,100,1969.0,1970,mdp.39015000619281
"goudge, elizabeth","goudge, elizabeth",100,pilgrim's inn,pilgrim's inn.,pilgrim's inn,pilgrim's inn,100,100,1948.0,1948,mdp.39015003942086
"graham, gwethalyn","graham, gwethalyn",100,earth and high heaven,earth and high heaven by gwethalyn graham.,earth and high heaven,earth and high heaven,100,100,1944.0,1945,mdp.39015051364423
"goudge, elizabeth","goudge, elizabeth",100,green dolphin street,"green dolphin street, a novel by elizabeth goudge.",green dolphin street,green dolphin street,100,100,1944.0,1944,mdp.39015003942102
"galsworthy, john","galsworthy, john",100,one more river,"one more river, by john galsworthy.",one more river,one more river,100,100,1933.0,1933,uc1.b3834423
"golding, louis","golding, louis",100,magnolia street,magnolia street.,magnolia street,magnolia street,100,100,1932.0,1932,uc1.$b56702
"galsworthy, john","galsworthy, john",100,maid in waiting,"maid in waiting, by john galsworthy.",maid in waiting,maid in waiting,100,100,1931.0,1931,mdp.39015003681304
"galsworthy, john","galsworthy, john",100,silver spoon,"the silver spoon, by john galsworthy.",silver spoon,the silver spoon,100,100,1926.0,1926,mdp.39015003681775
"grey, zane","grey, zane",100,call of the canyon,the call of the canyon.,call of the canyon,the call of the canyon,100,100,1924.0,1924,uc1.$b298853
"gibbs, philip","gibbs, philip",100,heirs apparent,"heirs apparenta novel, by philip gibbs.",heirs apparent,the heirs apparent,100,100,1923.0,1924,uc1.$b242981
"grey, zane","grey, zane",100,mysterious rider,the mysterious rider;,mysterious rider,the mysterious rider,100,100,1921.0,1921,uc2.ark+=13960=fk3416t51p
"grey, zane","grey, zane",100,to the last man,"to the last man; a novel, illustrated by frank spradling.",to the last man,to the last man,100,100,1921.0,1922,nyp.33433076068612
"grey, zane","grey, zane",100,mysterious rider,"the mysterious rider; a novel, by zane grey. illustrations by frank b. hoffman.",mysterious rider,the mysterious rider,100,100,1921.0,1921,mdp.39015065540034
"grey, zane","grey, zane",100,man of the forest,"the man of the forest; a novel, by zane grey ... illustrations by frank tenny johnson.",man of the forest,the man of the forest,100,100,1920.0,1920,nyp.33433076067218
"grey, zane","grey, zane",100,desert of wheat,the desert of wheat a novel.,desert of wheat,the desert of wheat,100,100,1919.0,1919,mdp.39015076835118
"grey, zane","grey, zane",100,lone star ranger,"the lone star ranger; a romance of the border,",lone star ranger,the lone star ranger,100,100,1917.0,1915,uva.x000491679
"grey, zane","grey, zane",100,lone star ranger,the lone star ranger;,lone star ranger,the lone star ranger,100,100,1915.0,1915,uc2.ark+=13960=fk2x34ms9c
"glyn, elinor","glyn, elinor",100,visits of elizabeth,the visits of elizabeth by elinor glyn.,visits of elizabeth,the visits of elizabeth,100,100,1901.0,1901,nyp.33433074864814
"grant, robert","grant, robert",100,unleavened bread,unleavened bread [a novel] by robert grant ...,unleavened bread,unleavened bread,100,100,1900.0,1900,mdp.39015005148344
"glyn, elinor","glyn, elinor",100,visits of elizabeth,visits of elizabeth [by] elinor glyn.,visits of elizabeth,the visits of elizabeth,100,100,1943.0,1901,mdp.39015063548997
"o'hara, john","o'hara, john",100,elizabeth appleton,elizabeth appleton a novel by john o'hara.,elizabeth appleton,elizabeth appleton,100,100,1963.0,1963,mdp.39015020710847
"susann, jacqueline","susann, jacqueline",100,valley of the dolls,"valley of the dolls, a novel.",valley of the dolls,valley of the dolls,100,100,1966.0,1966,uc1.32106006283888
"ford, paul leicester","ford, paul leicester",100,janice meredith,janice meredith a story of the american revolution by paul leicester ford ; with a miniature by lillie v. o'ryan and illustrations by howard pyle and his pupils.,janice meredith,janice meredith,100,100,1899.0,1900,nyp.33433076065998
"keyes, frances parkinson","keyes, frances parkinson",100,dinner at antoine's,dinner at antoine's.,dinner at antoine's,dinner at antoine's,100,100,1948.0,1949,uc1.b3710825
"auel, jean m","auel, jean m.",96,plains of passage,the plains of passage jean m. auel.,plains of passage,the plains of passage,100,100,1990.0,1990,mdp.39015056245577
"van dine, s. s","van dine, s. s.",97,greene murder case,"the greene murder case; a philo vance story, by s. s. van dine [pseud.]",greene murder case,the greene murder case,100,100,1928.0,1928,mdp.39015063975299
"higgins, jack","higgins, jack",100,storm warning,storm warning a novel jack higgins.,storm warning,storm warning,100,100,1976.0,1976,mdp.39015000542897
"heller, joseph","heller, joseph",100,good as gold,good as gold joseph heller.,good as gold,good as gold,100,100,1979.0,1979,mdp.39015020693878
"herbert, frank","herbert, frank",100,god emperor of dune,god emperor of dune by frank herbert.,god emperor of dune,god emperor of dune,100,100,1981.0,1981,uc1.32106009087138
"hailey, arthur","haley, arthur",96,strong medicine,strong medicine arthur hailey.,strong medicine,strong medicine,100,100,1984.0,1984,uc1.b3473687
"hémon, louis","hemon, louis",92,maria chapdelaine,maria chapdelaine by louis hémon ; illustrated by gilles tibo ; in a new translation by alan brown ; introduction by roch carrier.,maria chapdelaine,maria chapdelaine,100,100,1913.0,1922,pst.000043529889
"churchill, winston, sir","churchill, winston",88,richard carvel,"richard carvel, by winston churchill ... with illustrations by carlton t. chapman and malcolm fraser.",richard carvel,richard carvel,100,100,1899.0,1900,uc1.b3962029
"king, stephen","king, stephen",100,bag of bones,bag of bones stephen king.,bag of bones,bag of bones,100,100,1998.0,1998,mdp.39015043798936
"archer, jeffrey","archer, jeffrey",100,a matter of honor,a matter of honor jeffrey archer.,a matter of honor,a matter of honor,100,100,1986.0,1986,mdp.39015063095692
"ashe, penelope","ashe, penelope",100,naked came the stranger,naked came the stranger by penelope ashe.,naked came the stranger,naked came the stranger,100,100,1969.0,1969,mdp.39015019641342
"yerby, frank","yerby, frank",100,foxes of harrow,the foxes of harrow frank yerby.,foxes of harrow,the foxes of harrow,100,100,1946.0,1946,mdp.39015030113016
"churchill, winston, sir","churchill, winston",88,a modern chronicle,a modern chronicle. illus. by j.h. gardner soper.,a modern chronicle,a modern chronicle,100,100,1904.0,1910,uc1.b4374271
"young, stark","young, stark",100,so red the rose,so red the rose by stark young.,so red the rose,so red the rose,100,100,1934.0,1934,mdp.39015051112673
"auel, jean m","auel, jean m.",96,mammoth hunters,the mammoth hunters jean m. auel.,mammoth hunters,the mammoth hunters,100,100,1985.0,1985,mdp.39015052395905
"churchill, winston, sir","churchill, winston",88,mr. crewe's career,mr. crewe's career,mr. crewe's career,mr. crewe's career,100,100,1908.0,1908,uc2.ark+=13960=t6xw49546
"asimov, isaac","asimov, isaac",100,robots of dawn,the robots of dawn isaac asimov.,robots of dawn,the robots of dawn,100,100,1983.0,1983,mdp.39015046831189
"auel, jean m","auel, jean m.",96,valley of horses,the valley of horses a novel jean m. auel.,valley of horses,the valley of horses,100,100,1982.0,1982,mdp.39015052467142
"asimov, isaac","asimov, isaac",100,foundation's edge,foundation's edge by isaac asimov.,foundation's edge,foundation's edge,100,100,1982.0,1982,mdp.39015007068235
"van dine, s. s","van dine, s. s.",97,bishop murder case,"the bishop murder case, a philo vance story, by s. s. van dine [pseud.]",bishop murder case,the bishop murder case,100,100,1929.0,1929,mdp.39015063975992
"heller, joseph","heller, joseph",100,something happened,something happened.,something happened,something happened,100,100,1974.0,1974,mdp.39015049553541
"holmes, marjorie","holmes, marjorie",100,two from galilee,two from galilee marjorie holmes.,two from galilee,two from galilee,100,100,1972.0,1972,pst.000007426209
"hemingway, ernest","hemingway, ernest",100,islands in the stream,islands in the stream.,islands in the stream,islands in the stream,100,100,1961.0,1970,mdp.39015009314462
"irving, john","irving, john",100,cider house rules,the cider house rules a novel john irving.,cider house rules,cider house rules,100,100,1985.0,1985,mdp.39015006236957
"clancy, tom","clancy, tom",100,executive orders,executive orders tom clancy.,executive orders,executive orders,100,100,1996.0,1996,mdp.39015046386523
"irving, john","irving, john",100,hotel new hampshire,the hotel new hampshire john irving.,hotel new hampshire,the hotel new hampshire,100,100,1981.0,1981,mdp.39015013970788
"heyward, dubose","heyward, dubose",100,mamba's daughters,mamba's daughters; a novel of charleston.,mamba's daughters,mamba's daughters,100,100,1929.0,1929,uc1.32106002116181
"yerby, frank","yerby, frank",100,a woman called fancy,a woman called fancy.,a woman called fancy,a woman called fancy,100,100,1951.0,1951,uc1.b3463671
"irving, john","irving, john",100,world according to garp,the world according to garp a novel by john irving.,world according to garp,the world according to garp,100,100,1978.0,1978,mdp.39015012416601
"huxley, aldous","huxley, aldous",100,eyeless in gaza,eyeless in gaza aldous huxley.,eyeless in gaza,eyeless in gaza,100,100,1936.0,1936,pst.000005375714
"hilton, james","hilton, james",100,lost horizon,lost horizon.,lost horizon,lost horizon,100,100,1936.0,1935,mdp.39015008036983
"yerby, frank","yerby, frank",100,pride's castle,pride's castle,pride's castle,pride's castle,100,100,1949.0,1949,uc1.b3295189
"hemingway, ernest","hemingway, ernest",100,for whom the bell tolls,for whom the bell tolls.,for whom the bell tolls,for whom the bell tolls,100,100,1940.0,1941,mdp.39015066076368
"vonnegut, kurt","vonnegut, kurt",100,breakfast of champions,"breakfast of champions; or, goodbye blue monday! by kurt vonnegut, jr. with drawings by the author. -",breakfast of champions,breakfast of champions,100,100,1973.0,1973,mdp.39015045637470
"hilton, james","hilton, james",100,random harvest,random harvest james hilton.,random harvest,random harvest,100,100,1941.0,1941,inu.32000009149842
"hersey, john","hersey, john",100,a bell for adano,a bell for adano [by] john hersey.,a bell for adano,a bell for adano,100,100,1944.0,1944,mdp.39015025036917
"hilton, james","hilton, james",100,so well remembered,so well remembered ...,so well remembered,so well remembered,100,100,1945.0,1945,mdp.39015050557142
"hemingway, ernest","hemingway, ernest",100,old man and the sea,the old man and the sea.,old man and the sea,the old man and the sea,100,100,1952.0,1952,uc1.32106010138839
"hyman, mac","hyman, mac",100,no time for sergeants,no time for sergeants mac hyman.,no time for sergeants,no time for sergeants,100,100,1954.0,1955,mdp.39015031779963
"huxley, aldous","huxley, aldous",100,eyeless in gaza,"eyeless in gaza, a novel.",eyeless in gaza,eyeless in gaza,100,100,1949.0,1936,mdp.49015000983156
"adams, richard","adams, richard",100,watership down,watership down [by] richard adams.,watership down,watership down,100,100,1972.0,1974,mdp.39015020735745
