volume_author,prize_author,aRatio,trunc_volumetitle,volume_title,trunc_prizetitle,prize_title,tRatio,original_tRaio,volume_year,prize_year,docid,prize,nationality
"faulkner, william","faulkner, william",100,best of f,the best of faulkner chosen by the author william faulkner.,#matchall,#matchall,8,11,1954.0,1949,uc1.b2793542,nobel,US
"gide, andré","gide, andré",100,counterfe,"the counterfeiters, tr. from the french by dorothy bussy.",#matchall,#matchall,8,11,1947.0,1947,mdp.39015009212237,nobel,France
"gide, andré","gide, andré",100,strait is,strait is the gate [by] andré gide. translated from the french by dorothy bussy.,#matchall,#matchall,19,22,1949.0,1947,mdp.39015005108728,nobel,France
"gide, andré","gide, andré",100,two symph,two symphonies[isabelle and the pastoral symphony] translated from the french by dorothy bussy.,#matchall,#matchall,19,22,1931.0,1947,uc1.b3751967,nobel,France
"hesse, hermann","hesse, hermann",100,fairy tal,the fairy tales of hermann hesse translated and with an introduction by jack zipes ; woodcut illustrations by david frampton.,#matchall,#matchall,41,44,1962.0,1946,mdp.39015034518103,nobel,Switzerland
"hamsun, knut","hamsun, knut",100,mysteries,mysteries knut hamsun ; translated from the norwegian by  gerry bothmer.,#matchall,#matchall,19,22,1952.0,1920,wu.89070976139,nobel,Norway
"hersey, john","hersey, john",100,walnut door by j,the walnut door by john hersey.,a bell for adano,a bell for adano,38,38,1977.0,1945,uc1.b3688280,pulitzer,US
"hesse, hermann","hesse, hermann",100,six novel,six novels with other stories and essays hermann hesse ; introduced by bernard levin.,#matchall,#matchall,8,11,1962.0,1946,uc1.32106005808073,nobel,Switzerland
"hersey, john","hersey, john",100,blues john herse,blues john hersey ; with drawings by james baker.,a bell for adano,a bell for adano,31,31,1987.0,1945,uc1.b4382651,pulitzer,US
"hersey, john","hersey, john",100,fling and other ,fling and other stories john hersey.,a bell for adano,a bell for adano,31,31,1990.0,1945,mdp.39015017728455,pulitzer,US
"hamsun, knut","hamsun, knut",100,night roa,night roamers and other stories knut hamsun ; translated from the norwegian by tiina nunnally.,#matchall,#matchall,19,22,1952.0,1920,wu.89042492249,nobel,Norway
"hesse, hermann","hesse, hermann",100,narcissus,narcissus and goldmund hermann hesse ; translated from the german by leila vennewitz.,#matchall,#matchall,19,22,1962.0,1946,uc1.32106017269629,nobel,Switzerland
"hersey, john","hersey, john",100,key west tales b,key west tales by john hersey.,a bell for adano,a bell for adano,25,25,1993.0,1945,mdp.39015032748926,pulitzer,US
"hamsun, knut","hamsun, knut",100,wayfarers,wayfarers knut hamsun ; translated from the norwegian by james mcfarlane,#matchall,#matchall,19,22,1952.0,1920,uc1.32106011112015,nobel,Norway
"hesse, hermann","hesse, hermann",100,knulpthre,knulpthree tales from the life of knulp. translated by ralph manheim.,#matchall,#matchall,19,22,1962.0,1946,mdp.39015008819875,nobel,Switzerland
"hamsun, knut","hamsun, knut",100,a wandere,a wanderer plays on muted strings knut hamsun ; translated from the norwegian by oliver and gunnvor stallybrass.,#matchall,#matchall,19,22,1952.0,1920,mdp.39015052652818,nobel,Norway
"hamsun, knut","hamsun, knut",100,last joy ,the last joy knut hamsun ; translated from the norwegian by sverre lyngstad.,#matchall,#matchall,19,22,1952.0,1920,mdp.39015058120091,nobel,Norway
"hesse, hermann","hesse, hermann",100,siddharth,siddhartha an indian poem hermann hesse ; a new translation by susan bernofsky ; introduction by tom robbins.,#matchall,#matchall,30,33,1962.0,1946,mdp.39015064760872,nobel,Switzerland
"cather, willa","cather, willa",100,alexander's,alexander's bridge by willa sibert cather,one of ours,one of ours,35,36,1912.0,1923,uc1.32106014703109,pulitzer,US
"cather, willa","cather, willa",100,alexander's,alexander's bridge.,one of ours,one of ours,35,36,1912.0,1923,uc1.32106005398463,pulitzer,US
"cather, willa","cather, willa",100,o pioneers ,o pioneers !,one of ours,one of ours,44,45,1913.0,1923,uc2.ark+=13960=t0zp3ww0x,pulitzer,US
"cather, willa","cather, willa",100,my ántonia ,my ántonia by willa sibert cather ; with illustrations by w.t. benda.,one of ours,one of ours,26,27,1918.0,1923,mdp.39015047544880,pulitzer,US
"cather, willa","cather, willa",100,youth and t,youth and the bright medusa,one of ours,one of ours,26,27,1920.0,1923,uc2.ark+=13960=t78s4kj2t,pulitzer,US
"hersey, john","hersey, john",100,my petition for ,my petition for more space [by] john hersey.,a bell for adano,a bell for adano,44,44,1974.0,1945,mdp.39015036895640,pulitzer,US
"hesse, hermann","hesse, hermann",100,rosshalde,rosshalde. translated by ralph manheim.,#matchall,#matchall,30,33,1962.0,1946,mdp.39015024848247,nobel,Switzerland
"cather, willa","cather, willa",100,a lost lady,"a lost lady, by willa cather.",one of ours,one of ours,26,27,1923.0,1923,mdp.39015019187809,pulitzer,US
"hersey, john","hersey, john",100,war lover.,the war lover.,a bell for,a bell for adano,48,50,1959.0,1945,mdp.39015011902353,pulitzer,US
"hersey, john","hersey, john",100,into the valley;,into the valley; a skirmish of the marines [by] john hersey. illustrations by major donald l. dickson,a bell for adano,a bell for adano,25,25,1943.0,1945,mdp.39015005718278,pulitzer,US
"hersey, john","hersey, john",100,a bell for adano,a bell for adano [by] john hersey.,a bell for adano,a bell for adano,100,100,1944.0,1945,mdp.39015025036917,pulitzer,US
"hesse, hermann","hesse, hermann",100,"demian, t","demian, the story of a youth. introd. by thomas mann.",#matchall,#matchall,30,33,1948.0,1946,inu.30000005079904,nobel,Switzerland
"hersey, john","hersey, john",100,marmot drive by ,the marmot drive by john hersey.,a bell for adano,a bell for adano,31,31,1953.0,1945,mdp.39015016424395,pulitzer,US
"hamsun, knut","hamsun, knut",100,pan; from,pan; from lieutenant thomas glahn's papers.,#matchall,#matchall,8,11,1952.0,1920,uc1.32106002253513,nobel,Norway
"hersey, john","hersey, john",100,a single pebble.,a single pebble.,a bell for adano,a bell for adano,25,25,1956.0,1945,mdp.39015066056915,pulitzer,US
"hesse, hermann","hesse, hermann",100,journey t,the journey to the east.,#matchall,#matchall,8,11,1956.0,1946,mdp.39015005058410,nobel,Switzerland
"hersey, john","hersey, john",100,a single pebble ,a single pebble john hersey.,a bell for adano,a bell for adano,31,31,1956.0,1945,mdp.39015074297212,pulitzer,US
"hersey, john","hersey, john",100,child buyer; a n,"the child buyer; a novel in the form of hearings before the standing committee on education, welfare, & public morality of a certain state senate, investigating the conspiracy of mr. wissey jones, with others, to purchase a male child.",a bell for adano,a bell for adano,44,44,1960.0,1945,mdp.39015031235388,pulitzer,US
"hesse, hermann","hesse, hermann",100,peter cam,peter camenzind. translated by michael roloff.,#matchall,#matchall,30,33,1962.0,1946,mdp.39015003744078,nobel,Switzerland
"hesse, hermann","hesse, hermann",100,gertrude.,"gertrude. translated from the german ""gertrud"" by hilda rosner.",#matchall,#matchall,8,11,1955.0,1946,mdp.49015002994946,nobel,Switzerland
"hesse, hermann","hesse, hermann",100,"demian, t","demian, the story of emil sinclair's youth. introd. by thomas mann. translated from the german by michael roloff and michael lebeck.",#matchall,#matchall,30,33,1962.0,1946,mdp.39015054056430,nobel,Switzerland
"hersey, john","hersey, john",100,white lotus [by],white lotus [by] john hersey.,a bell for adano,a bell for adano,25,25,1965.0,1945,mdp.39015050556565,pulitzer,US
"hersey, john","hersey, john",100,too far to walk ,too far to walk [by] john hersey.,a bell for adano,a bell for adano,31,31,1966.0,1945,uc1.b3688282,pulitzer,US
"hamsun, knut","hamsun, knut",100,growth of,"growth of the soil, tr. from the norwegian of knut hamsun by w. w. worster ...",#matchall,#matchall,19,22,1952.0,1920,pst.000005845668,nobel,Norway
"hersey, john","hersey, john",100,under the eye of,under the eye of the storm by john hersey.,a bell for adano,a bell for adano,31,31,1967.0,1945,mdp.39015016424379,pulitzer,US
"hesse, hermann","hesse, hermann",100,siddharth,siddhartha; translated by hilda rosner.,#matchall,#matchall,30,33,1951.0,1946,mdp.39015054070571,nobel,Switzerland
"hamsun, knut","hamsun, knut",100,hunger. n,hunger. newly translated from the norwegian by robert bly. with introductions by robert bly and isaac bashevis singer.,#matchall,#matchall,8,11,1952.0,1920,mdp.49015001238832,nobel,Norway
"cather, willa","cather, willa",100,one of ours,one of ours [by] willa cather.,one of ours,one of ours,99,100,1922.0,1923,mdp.39015008779871,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,confusion a no,confusion a novel by james gould cozzens.,guard of honor,guard of honor,36,36,1924.0,1949,uc1.b3688409,pulitzer,US
"gide, andré","gide, andré",100,school fo,"the school for wives. robert. geneiève, or the unfinished confidence by andré gide ; translated from the french by dorothy bussy.",#matchall,#matchall,30,33,1950.0,1947,mdp.39015005782803,nobel,France
"cather, willa","cather, willa",100,collected s,"collected short fiction, 1892-1912. edited by virginia faulkner. introd. by mildred r. bennett.",one of ours,one of ours,35,36,1947.0,1923,mdp.39015008183918,pulitzer,US
"cather, willa","cather, willa",100,five storie,"five stories. with an article by george n. kates on miss cather's last, unfinished, and unpublished avignon story.",one of ours,one of ours,35,36,1947.0,1923,mdp.39015054072270,pulitzer,US
"cather, willa","cather, willa",100,early stori,early stories. selected and with commentary by mildred r. bennett.,one of ours,one of ours,35,36,1947.0,1923,mdp.39015002701954,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,by love posses,by love possessed.,guard of honor,guard of honor,29,29,1957.0,1949,mdp.39015014235579,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,a cure of fles,"a cure of flesh, by james gould cozzens ...",guard of honor,guard of honor,43,43,1933.0,1949,uc1.b3346520,pulitzer,US
"cather, willa","cather, willa",100,troll garde,the troll garden by willa cather ; with an afterword by katherine anne porter.,one of ours,one of ours,26,27,1947.0,1923,uc1.$b610554,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,children and o,children and others.,guard of honor,guard of honor,29,29,1964.0,1949,uc1.$b87185,pulitzer,US
"cather, willa","cather, willa",100,willa cathe,"willa cather's collected short fiction, 1892-1912. introd. by mildred r. bennett.",one of ours,one of ours,8,9,1947.0,1923,mdp.39015046379296,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,ask me tomorro,"ask me tomorrow; or, the pleasant comedy of young fortunatus.",guard of honor,guard of honor,43,43,1968.0,1949,mdp.39015016444252,pulitzer,US
"cather, willa","cather, willa",100,uncle valen,"uncle valentine and other stories; willa cather's uncollected short fiction, 1915-1929. edited with an introd. by bernice slote.",one of ours,one of ours,26,27,1947.0,1923,mdp.39015008411731,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,guard of honor,guard of honor james gould cozzens.,guard of honor,guard of honor,100,100,1948.0,1949,uc1.b4386187,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,just represent,just representations a james gould cozzens reader edited and with an introd. by matthew j. bruccoli.,guard of honor,guard of honor,21,21,1978.0,1949,mdp.39015014152915,pulitzer,US
"cather, willa","cather, willa",100,early novel,early novels and stories willa cather.,one of ours,one of ours,26,27,1947.0,1923,mdp.39015022181799,pulitzer,US
"cather, willa","cather, willa",100,willa cathe,willa cather--24 stories selected and with an introduction by sharon o'brien.,one of ours,one of ours,8,9,1947.0,1923,inu.30000027332117,pulitzer,US
"cather, willa","cather, willa",100,great short,"great short works of willa cather robert k. miller, editor.",one of ours,one of ours,35,36,1947.0,1923,mdp.49015000744608,pulitzer,US
"cather, willa","cather, willa",100,later novel,later novels willa cather.,one of ours,one of ours,26,27,1947.0,1923,mdp.49015000976838,pulitzer,US
"cather, willa","cather, willa",100,my ántonia,my ántonia ; the troll garden ; selected short stories willa cather.,one of ours,one of ours,17,18,1947.0,1923,pst.000049785197,pulitzer,US
"cather, willa","cather, willa",100,o pioneers!,o pioneers! and other tales of the prairie willa cather.,one of ours,one of ours,44,45,1947.0,1923,mdp.39015047569788,pulitzer,US
"cather, willa","cather, willa",100,vintage cat,vintage cather willa cather,one of ours,one of ours,26,27,1947.0,1923,uc1.32106017886422,pulitzer,US
"cather, willa","cather, willa",100,my antonia.,my antonia. with illus. by w.t. benda.,one of ours,one of ours,17,18,1947.0,1923,uc1.32106002095435,pulitzer,US
"cather, willa","cather, willa",100,"old beauty,","the old beauty, and others.",one of ours,one of ours,26,27,1947.0,1923,mdp.39015006586633,pulitzer,US
"cather, willa","cather, willa",100,professor's,"the professor's house, by willa cather.",one of ours,one of ours,44,45,1925.0,1923,mdp.39015004288455,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,"s.s. ""san pedr","s.s. ""san pedro."" a tale of the sea.",guard of honor,guard of honor,21,21,1931.0,1949,uc1.$b87186,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,michael scarle,"michael scarlett, a history",guard of honor,guard of honor,21,21,1925.0,1949,mdp.39015030741485,pulitzer,US
"cather, willa","cather, willa",100,my mortal e,my mortal enemy [by] willa cather.,one of ours,one of ours,26,27,1926.0,1923,mdp.39015005083418,pulitzer,US
"cather, willa","cather, willa",100,death comes,death comes for the archbishop by willa cather.,one of ours,one of ours,35,36,1927.0,1923,mdp.39015002309139,pulitzer,US
"cather, willa","cather, willa",100,song of the,"the song of the lark, by willa sibert cather.",one of ours,one of ours,54,55,1927.0,1923,mdp.39015049744967,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,cock pit by ja,cock pit by james gould cozzens.,guard of honor,guard of honor,14,14,1928.0,1949,uc1.b3688116,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,son of perditi,the son of perdition james gould cozzens,guard of honor,guard of honor,36,36,1929.0,1949,uc1.b3687282,pulitzer,US
"cather, willa","cather, willa",100,shadows on ,shadows on the rock.,one of ours,one of ours,35,36,1931.0,1923,mdp.39015030728516,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,s. s. san pedr,"s. s. san pedro, by james gould cozzens.",guard of honor,guard of honor,29,29,1931.0,1949,mdp.39015030741469,pulitzer,US
"cather, willa","cather, willa",100,obscure des,obscure destinies.,one of ours,one of ours,35,36,1932.0,1923,mdp.39015008265236,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,just and the u,the just and the unjust james gould cozzens.,guard of honor,guard of honor,36,36,1942.0,1949,mdp.39015066054035,pulitzer,US
"cather, willa","cather, willa",100,december ni,"december night; a scene from willa cather's novel, ""death comes for the archbishop."" ...",one of ours,one of ours,17,18,1933.0,1923,mdp.39015048708559,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,last adam.,the last adam.,guard of h,guard of honor,18,20,1933.0,1949,mdp.39015013006609,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,s.s. san pedro,s.s. san pedro and castaway.,guard of honor,guard of honor,21,21,1934.0,1949,mdp.39015068050569,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,castaway.,castaway.,guard of ,guard of honor,8,11,1934.0,1949,uc1.b4089439,pulitzer,US
"cather, willa","cather, willa",100,lucy gayhea,lucy gayheart.,one of ours,one of ours,8,9,1935.0,1923,mdp.39015019073975,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,men and brethr,men and brethren ... james gould cozzens.,guard of honor,guard of honor,36,36,1936.0,1949,mdp.39015066288138,pulitzer,US
"cather, willa","cather, willa",100,novels and ,the novels and stories of willa cather ...,one of ours,one of ours,35,36,1937.0,1923,inu.32000002523084,pulitzer,US
"cozzens, james gould","cozzens, james gould",100,ask me tomorro,ask me tomorrow,guard of honor,guard of honor,43,43,1940.0,1949,uc1.b3688113,pulitzer,US
"hamsun, knut","hamsun, knut",100,look back,look back on happiness knut hamsun ; translated from the norwegian by paula wiking.,#matchall,#matchall,19,22,1940.0,1920,mdp.39015037062190,nobel,Norway
"hamsun, knut","hamsun, knut",100,road lead,the road leads on by knut hamsun ; translated from the norwegian by eugene gay-tifft.,#matchall,#matchall,19,22,1934.0,1920,mdp.39015005162402,nobel,Norway
"hamsun, knut","hamsun, knut",100,august. t,august. translated from the norwegian by eugene gay-tifft.,#matchall,#matchall,19,22,1931.0,1920,mdp.39015005090074,nobel,Norway
"tarkington, booth","tarkington, booth",100,turmoil a novel by bo,the turmoil a novel by booth tarkington ... ; illustrated by c.e. chambers.,magnificent ambersons,the magnificent ambersons,33,33,1915.0,1919,nyp.33433076091655,pulitzer,US
"tarkington, booth","tarkington, booth",100,in the arena,in the arena,magnificent ,the magnificent ambersons,33,33,1905.0,1919,uc2.ark+=13960=t6348hk9z,pulitzer,US
"tarkington, booth","tarkington, booth",100,"his own people, by bo","his own people, by booth tarkington; illustrated by lawrence mazzanovich and f. r. gruger, decorated by wm. st. john harper.",magnificent ambersons,the magnificent ambersons,24,24,1907.0,1919,nyp.33433076081813,pulitzer,US
"tarkington, booth","tarkington, booth",100,guest of quesnay,the guest of quesnay,magnificent ambe,the magnificent ambersons,31,31,1908.0,1919,uc2.ark+=13960=t8df6mh6j,pulitzer,US
"tarkington, booth","tarkington, booth",100,beasley's christmas p,beasley's christmas party by booth tarkington ; illustrated by ruth sypherd clements.,magnificent ambersons,the magnificent ambersons,29,29,1909.0,1919,uc1.b3569279,pulitzer,US
"tarkington, booth","tarkington, booth",100,beauty and the jacobi,beauty and the jacobin;,magnificent ambersons,the magnificent ambersons,29,29,1912.0,1919,uc2.ark+=13960=t3dz0380t,pulitzer,US
"tarkington, booth","tarkington, booth",100,flirt by booth tarkin,the flirt by booth tarkington ; illustrations by clarence f. underwood.,magnificent ambersons,the magnificent ambersons,33,33,1913.0,1919,wu.89086053873,pulitzer,US
"tarkington, booth","tarkington, booth",100,an overwhelming satur,"an overwhelming saturday; a ""penrod"" story.",magnificent ambersons,the magnificent ambersons,33,33,1913.0,1919,wu.89085278646,pulitzer,US
"tarkington, booth","tarkington, booth",100,penrod,penrod,magnif,the magnificent ambersons,11,17,1914.0,1919,uc2.ark+=13960=t2t43k226,pulitzer,US
"tarkington, booth","tarkington, booth",100,seventeen booth tarki,seventeen booth tarkington.,magnificent ambersons,the magnificent ambersons,33,33,1916.0,1919,mdp.49015000550633,pulitzer,US
"tarkington, booth","tarkington, booth",100,conquest of canaan a ,the conquest of canaan a novel illustrated by lucius w. hitchcock.,magnificent ambersons,the magnificent ambersons,29,29,1905.0,1919,nyp.33433076080823,pulitzer,US
"tarkington, booth","tarkington, booth",100,penrod and sam by boo,penrod and sam by booth tarkington ; illustrated by worth brehm.,magnificent ambersons,the magnificent ambersons,33,33,1916.0,1919,uc1.b4374101,pulitzer,US
"tarkington, booth","tarkington, booth",100,seventeen; a tale of ,"seventeen; a tale of youth and summer time and the baxter family, especially william, by booth tarkington.",magnificent ambersons,the magnificent ambersons,33,33,1916.0,1919,uc1.b4084371,pulitzer,US
"tarkington, booth","tarkington, booth",100,spring concert,the spring concert,magnificent am,the magnificent ambersons,36,36,1916.0,1919,uc2.ark+=13960=t9765b43s,pulitzer,US
"tarkington, booth","tarkington, booth",100,monsieur beaucaire. t,"monsieur beaucaire. the beautiful lady. his own people, by booth tarkington ...",magnificent ambersons,the magnificent ambersons,38,38,1907.0,1919,nnc1.cu01664417,pulitzer,US
"tarkington, booth","tarkington, booth",100,magnificent ambersons,the magnificent ambersons by booth tarkington ; illustrated by arthur william brown.,magnificent ambersons,the magnificent ambersons,100,100,1918.0,1919,nyp.33433076080831,pulitzer,US
"tarkington, booth","tarkington, booth",100,magnificent ambersons,the magnificent ambersons,magnificent ambersons,the magnificent ambersons,100,100,1918.0,1919,uc2.ark+=13960=t29883p23,pulitzer,US
"tarkington, booth","tarkington, booth",100,monsieur beaucaire ; ,monsieur beaucaire ; the beautiful lady ; his own people,magnificent ambersons,the magnificent ambersons,38,38,1920.0,1919,uc2.ark+=13960=t96689652,pulitzer,US
"tarkington, booth","tarkington, booth",100,alice adams.,alice adams.,magnificent ,the magnificent ambersons,42,42,1921.0,1919,uc1.b3569278,pulitzer,US
"tarkington, booth","tarkington, booth",100,in the arena stories ,in the arena stories of political life booth tarkington.,magnificent ambersons,the magnificent ambersons,43,43,1905.0,1919,uc1.l0068339415,pulitzer,US
"tarkington, booth","tarkington, booth",100,beautiful lady [by] b,the beautiful lady [by] booth tarkington.,magnificent ambersons,the magnificent ambersons,29,29,1905.0,1919,mdp.39015063759776,pulitzer,US
"hamsun, knut","hamsun, knut",100,vagabonds,vagabonds by knut hamsun ; translated from the norwegian by eugene gay-tifft.,#matchall,#matchall,19,22,1930.0,1920,mdp.39076006304096,nobel,Norway
"galsworthy, john","galsworthy, john",100,white mon,"the white monkey, and a silent wooing.",#matchall,#matchall,8,11,1933.0,1932,mdp.39076005037937,nobel,UK
"gide, andré","gide, andré",100,coiners. ,the coiners. translated from the french by dorothy bussy.,#matchall,#matchall,8,11,1950.0,1947,mdp.39015010699232,nobel,France
"gide, andré","gide, andré",100,counterfe,the counterfeiters; with journal of the counterfeiters. the novel translated from the french by dorothy bussy; the journal translated from the french and annotated by justin o'brien.,#matchall,#matchall,8,11,1951.0,1947,mdp.39015002676131,nobel,France
"gide, andré","gide, andré",100,lafcadio',lafcadio's adventures. translated from the french by dorothy bussy.,#matchall,#matchall,30,33,1951.0,1947,mdp.39015008672142,nobel,France
"gide, andré","gide, andré",100,lafcadios,lafcadios adventures by andré gide translated from the french by dorothy bussy.,#matchall,#matchall,30,33,1951.0,1947,pst.000062820837,nobel,France
"galsworthy, john","galsworthy, john",100,galsworth,"the galsworthy reader, edited by anthony west.",#matchall,#matchall,30,33,1933.0,1932,mdp.39015003679787,nobel,UK
"gide, andré","gide, andré",100,vatican c,the vatican cellars andré gide ; [translated by dorothy bussy].,#matchall,#matchall,41,44,1951.0,1947,wu.89057901589,nobel,France
"galsworthy, john","galsworthy, john",100,in chance,"in chancery, and awakening [by] john galsworthy.",#matchall,#matchall,30,33,1933.0,1932,inu.32000004596575,nobel,UK
"galsworthy, john","galsworthy, john",100,man of pr,the man of property and indian summer of a forsyte john galsworthy.,#matchall,#matchall,19,22,1933.0,1932,inu.32000004614279,nobel,UK
"galsworthy, john","galsworthy, john",100,jocelyn.,jocelyn.,#matchal,#matchall,21,25,1933.0,1932,mdp.39015003681387,nobel,UK
"tarkington, booth","tarkington, booth",100,cherry by booth tarki,cherry by booth tarkington.,magnificent ambersons,the magnificent ambersons,29,29,1903.0,1919,mdp.39015063926888,pulitzer,US
"rawlings, marjorie kinnan","rawlings, marjorie kinnan",100,golden a,"golden apples, by marjorie kinnan rawlings ...",yearling,the yearling,21,25,1935.0,1939,uc1.$b243866,pulitzer,US
"rawlings, marjorie kinnan","rawlings, marjorie kinnan",100,yearling,the yearling; decorations by edward shenton.,yearling,the yearling,96,100,1938.0,1939,uc1.32106002139753,pulitzer,US
"rawlings, marjorie kinnan","rawlings, marjorie kinnan",100,when the,when the whippoorwill [by] marjorie kinnan rawlings.,yearling,the yearling,21,25,1940.0,1939,uc1.$b104064,pulitzer,US
"rawlings, marjorie kinnan","rawlings, marjorie kinnan",100,sojourne,the sojourner.,yearling,the yearling,21,25,1953.0,1939,mdp.39015000599194,pulitzer,US
"tarkington, booth","tarkington, booth",100,gentleman from indian,the gentleman from indiana.,magnificent ambersons,the magnificent ambersons,38,38,1899.0,1919,uc1.32106002081476,pulitzer,US
"tarkington, booth","tarkington, booth",100,"monsieur beaucaire, b","monsieur beaucaire, by booth tarkington; illustrated by c. d. williams.",magnificent ambersons,the magnificent ambersons,38,38,1900.0,1919,mdp.39015065779426,pulitzer,US
"tarkington, booth","tarkington, booth",100,ramsey milholland. il,ramsey milholland. illustrated by gordon grant.,magnificent ambersons,the magnificent ambersons,29,29,1900.0,1919,hvd.hwpe22,pulitzer,US
"tarkington, booth","tarkington, booth",100,two vanrevels,the two vanrevels,magnificent a,the magnificent ambersons,23,23,1902.0,1919,uc2.ark+=13960=t96689c59,pulitzer,US
"tarkington, booth","tarkington, booth",100,harlequin and columbi,"harlequin and columbine, by booth tarkington, frontispiece by e. stetson crawford.",magnificent ambersons,the magnificent ambersons,33,33,1922.0,1919,mdp.39015063926714,pulitzer,US
"tarkington, booth","tarkington, booth",100,gentle julia by booth,gentle julia by booth tarkington ; illustrated by c. allan gilbert and worth brehm.,magnificent ambersons,the magnificent ambersons,38,38,1922.0,1919,mdp.39015063926870,pulitzer,US
"tarkington, booth","tarkington, booth",100,turmoil.,the turmoil.,magnific,the magnificent ambersons,21,25,1922.0,1919,inu.32000002843417,pulitzer,US
"hamsun, knut","hamsun, knut",100,pan trans,"pan translated from the norwegian of knut hamsun, by w. w. worster, with an introduction by edwin björkman.",#matchall,#matchall,30,33,1921.0,1920,mdp.39015004895861,nobel,Norway
"tarkington, booth","tarkington, booth",100,kate fennigate booth ,kate fennigate booth tarkington.,magnificent ambersons,the magnificent ambersons,38,38,1943.0,1919,mdp.39015031304630,pulitzer,US
"tarkington, booth","tarkington, booth",100,image of josephine bo,image of josephine booth tarkington.,magnificent ambersons,the magnificent ambersons,43,43,1945.0,1919,uc1.$b105943,pulitzer,US
"tarkington, booth","tarkington, booth",100,three selected short ,three selected short novels.,magnificent ambersons,the magnificent ambersons,24,24,1946.0,1919,uc1.$b105950,pulitzer,US
"tarkington, booth","tarkington, booth",100,show piece booth tark,the show piece booth tarkington ; introduction by susanah tarkington.,magnificent ambersons,the magnificent ambersons,33,33,1946.0,1919,mdp.39015031306494,pulitzer,US
"hamsun, knut","hamsun, knut",100,hunger,hunger,#match,#matchall,11,17,1899.0,1920,uiuo.ark+=13960=t00z73x0f,nobel,Norway
"hamsun, knut","hamsun, knut",100,slaves of,slaves of love.,#matchall,#matchall,8,11,1900.0,1920,mdp.39015080474680,nobel,Norway
"hamsun, knut","hamsun, knut",100,shallow s,"shallow soil,",#matchall,#matchall,41,44,1914.0,1920,mdp.39015055223419,nobel,Norway
"hamsun, knut","hamsun, knut",100,growth of,growth of the soil,#matchall,#matchall,19,22,1920.0,1920,uiuo.ark+=13960=t17m0741m,nobel,Norway
"hamsun, knut","hamsun, knut",100,"dreamers,","dreamers, tr. from the norwegian of knut hamsun, by w. w. worster; with an introduction by w. w. worster.",#matchall,#matchall,8,11,1921.0,1920,mdp.39015030027752,nobel,Norway
"tarkington, booth","tarkington, booth",100,works of booth tarkin,the works of booth tarkington ...,magnificent ambersons,the magnificent ambersons,29,29,1922.0,1919,nyp.33433076014871,pulitzer,US
"hamsun, knut","hamsun, knut",100,mothwise,mothwise,#matchal,#matchall,34,38,1921.0,1920,uc2.ark+=13960=t17m0gv5v,nobel,Norway
"hamsun, knut","hamsun, knut",100,wanderers,wanderers,#matchall,#matchall,8,11,1922.0,1920,uc2.ark+=13960=t3zs2ns43,nobel,Norway
"hamsun, knut","hamsun, knut",100,victoria ,victoria translated from the norwegian of knut hamsun by arthur g. chater.,#matchall,#matchall,19,22,1923.0,1920,inu.32000007957246,nobel,Norway
"hamsun, knut","hamsun, knut",100,victoria;,victoria; a love story. [translated from the norwegian by arthur g. chater],#matchall,#matchall,19,22,1923.0,1920,uc1.32106007729483,nobel,Norway
"hamsun, knut","hamsun, knut",100,children ,"children of the age, translated from the norwegian of knut hamsun, by j.s. scott.",#matchall,#matchall,30,33,1924.0,1920,mdp.39015030027653,nobel,Norway
"hamsun, knut","hamsun, knut",100,segelfoss,segelfoss town translated from the norwegian of knut hamsun by j. s. scott.,#matchall,#matchall,8,11,1925.0,1920,mdp.39015011590885,nobel,Norway
"hamsun, knut","hamsun, knut",100,rosa tran,rosa translated from the norwegian of knut hamsun by arthur g. chater.,#matchall,#matchall,30,33,1926.0,1920,umn.31951001168128w,nobel,Norway
"hesse, hermann","hesse, hermann",100,steppenwo,steppenwolf. translated from the german by basil creighton.,#matchall,#matchall,8,11,1929.0,1946,inu.32000009374010,nobel,Switzerland
"tarkington, booth","tarkington, booth",100,heritage of hatcher i,the heritage of hatcher ide.,magnificent ambersons,the magnificent ambersons,33,33,1941.0,1919,uc1.$b105942,pulitzer,US
"tarkington, booth","tarkington, booth",100,fighting littles.,the fighting littles.,magnificent amber,the magnificent ambersons,29,29,1941.0,1919,uc1.b3569284,pulitzer,US
