,raw_pub,best_match,best_match_prob
3111,Current Hist 33:xii N,Current Hist,91.0
3112,-j- Hist Outlook,Outlook,89.0
3113,Books p* N,Books,90.33333333333333
3114,•f Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
3115,-NY Evening Post pllm Ap,N Y Evening Post,84.0
3116,[ New Repub,New Repub,100.0
3117,j- Books plO N,Books plO,94.0
3118,Nation and Ath 47:1SO My,Nation and Ath,91.33333333333333
3119,Revolution of,J Religion,60.666666666666664
3120,"show is spoiled."" W. J. Fadiman h Bookm",Bookm,75.0
3121,I- N Y World,N Y World,96.66666666666667
3122,Bookm 71:xiv Je,Bookm,83.33333333333333
3123,"happens in such cases, sentimentality creeps in."" f Books plO Je",Books plO,75.33333333333333
3124,-r Books plO Ag,Books plO,92.66666666666667
3125,Bookm 71:xxv Ap,Bookm,83.33333333333333
3126,Bobbs,Books,60.0
3127,Bootem,Bookm,68.66666666666667
3128,JM> r^ Books pll D,Books,82.66666666666667
3129,"situation which involves the hero's life."" h Sat R of Lit",Sat R of Lit,78.66666666666667
3130,N Y Evening Port plOm Mr,N Y Evening Post,83.33333333333333
3131,Times I London] Lit Sup,Times [London] Lit Sup,95.33333333333333
3132,Books i.s Mr,Books,86.33333333333333
3134,(- Sat R of Lit G:S56 Mr,Sat R of Lit,91.0
3135,Nation and Atli,Nation and Ath,91.0
3136,New Statesman 35:sup xlv My,New Statesman & Nation,69.0
3137,Springf'd Republican pSe Ag,Springfield Republican,77.33333333333333
3138,Bookm 72:43(i D,Bookm,83.33333333333333
3139,-f- Boston Transcript pi D,Boston Transcript,94.33333333333333
3140,-| Books plO F,Books plO,96.66666666666667
3141,Books pl-1 S,Books,86.33333333333333
3142,"Cleveland Open Shelf ,p!43 N",Cleveland Open Shelf,95.0
3143,-I NY World pllm Ap,N Y World,70.66666666666667
3144,-i NY Evening Post,N Y Evening Post,91.0
3145,New Statesman 34:sup xviil D,New Statesman & Nation,68.33333333333333
3146,•; Books,Books,100.0
3147,N«w Statesman,New Statesman & Nation,84.33333333333333
3148,"is rather dull."" F. R. Dulles (- Bookm",Bookm,76.0
3149,NY Times pg Ap,N Y Times,73.66666666666667
3150,;f N Y Times,N Y Times,96.66666666666667
3151,warfare and won the war in,Nation and Ath,52.333333333333336
3152,Spririgf'd Republican,Springfield Republican,79.66666666666667
3153,-J- Boston Transcript pi Ag,Boston Transcript,93.66666666666667
3154,-I NY World plS My,N Y World,71.33333333333333
3155,-i Books,Books,94.33333333333333
3156,cahHstian' Science Monitor,Christian Science Monitor,90.66666666666667
3157,\- N Y Time*,N Y Times,92.33333333333333
3158,Bookm 72:xxvii O,Bookm,82.66666666666667
3159,"N Y ""Times",N Y Times,96.33333333333333
3160,|- Outlook,Outlook,100.0
3161,Times [London] Lit Sup pl!6 F,Times [London] Lit Sup,95.0
3162,-i Boston Transcript,Boston Transcript,98.0
3163,N Y Times p(i O,N Y Times,91.66666666666667
3165,N Y World F,N Y World,96.66666666666667
3166,", Atlantic Bookshelf",Atlantic Bookshelf,100.0
3167,|- New Statesman,New Statesman & Nation,86.66666666666667
3168,Times [London] Lit Sup pSS Ja,Times [London] Lit Sup,95.0
3169,-!- N Y Times,N Y Times,100.0
3170,Bookm 71:xxvill Mr,Bookm,81.0
3171,-I MY Times,N Y Times,78.66666666666667
3172,•- Times [London] Lit Sup,Times [London] Lit Sup,100.0
3173,X<+ ^f'Times [London] Lit Sup,Times [London] Lit Sup,97.0
3174,ltd ed,Lit D,62.0
3175,Spec 144:sup489 Mr,Spec,78.66666666666667
3176,New Statesman 36:sup xiv N,New Statesman & Nation,70.66666666666667
3178,'Times [London]' Lit Sup,Times [London] Lit Sup,98.33333333333333
3179,Bookm 72:xii N,Bookm,84.33333333333333
3180,Bookm 72:xxiv O,Bookm,83.33333333333333
3181,N Y .Evening Post pllm Mr,N Y Evening Post,91.33333333333333
3183,NY Evening Post plOm F,N Y Evening Post,84.66666666666667
3184,Bookm 70:xxvi Ja,Bookm,82.66666666666667
3185,[London] Llt Sup,Times [London] Lit Sup,84.33333333333333
3188,h- Yale R n s,Yale R,89.0
3189,Bookm 71:xxix Ap,Bookm,82.66666666666667
3190,Times [London] Lit Sup u,Times [London] Lit Sup,98.33333333333333
3191,Bookm 71:zzzl Mr,Bookm,82.66666666666667
3192,Boston Transcript plO N,Boston Transcript,95.0
3193,Bookm 72:viii S,Bookm,83.33333333333333
3195,N Y Time* plG O,Time,81.33333333333333
3196,"alarming situations."" N Y Times",N Y Times,82.33333333333333
3198,Bookm 71:xviil Jl,Bookm,81.66666666666667
3199,N Y Evening post,N Y Evening Post,98.0
3200,-I Books plO O,Books plO,94.0
3201,Bookm 72:xxlv N,Bookm,83.33333333333333
3202,"•,- Book*",Books,86.0
3203,Bookm 71:xxxl Mr,Bookm,82.66666666666667
3204,"to the literature of social betterment."" J. McS. h Cath World",Cath World,76.66666666666667
3205,N Y Evening Post pSs Ag,N Y Evening Post,94.0
3206,"his own dramatist."" John Chamberlain h N Y Times",N Y Times,77.66666666666667
3207,Bookm 72:xxlil S,Bookm,82.66666666666667
3208,N Y Evening Post plO Ap,N Y Evening Post,94.0
3209,-) . Books,Books,100.0
3210,-j NY World,N Y World,84.0
3211,"are lifeless and the morality too pointed."" N Y Times",N Y Times,76.66666666666667
3212,Booktn,Books,75.33333333333333
3213,"repeat an old success."" Basil Davenport h Sat R of Lit",Sat R of Lit,79.33333333333333
3214,Books plG O,Books,87.33333333333333
3215,"faults, its very vigor commands attention."" h N Y Times",N Y Times,76.66666666666667
3216,J Sat R,Sat R,94.33333333333333
3217,"Sprlngf'd Republican p""o An",Springfield Republican,73.33333333333333
3218,Boo km 71:xvii Jl,Bookm,56.666666666666664
3219,NY Evening Pott pllm My,N Y Evening Post,74.0
3220,N Y Evening Port,N Y Evening Post,94.0
3221,"shocker, sub-class incredible."" Will Cuppy h Books",Books,73.0
3222,-~ Books,Books,100.0
3223,j- N Y Times,N Y Times,96.66666666666667
3224,Bookm 72:vli N,Bookm,84.33333333333333
3225,"sharply above her present material."" W. B. New Repub",New Repub,77.33333333333333
3226,-| NY World plOm F,N Y World,72.66666666666667
3227,Chicago Dally Tribune pll Mr,Chicago Daily Tribune,86.66666666666667
3228,Bookm 72:xxiv S,Bookm,83.33333333333333
3229,"produced a living novel."" W.",Living Age,63.666666666666664
3230,Books j.l S,Books,87.33333333333333
3231,Books i-.i I Je,Books,84.33333333333333
3232,'+ 'Outlook,Outlook,100.0
3233,Tlmei [London] Lit Sup pl!02 D,Times [London] Lit Sup,82.66666666666667
3234,NY World pll O,N Y World,73.66666666666667
3235,Canadian Hist R,Canadian Forum,68.66666666666667
3236,"that much more might have been done with it."" h N Y Times",N Y Times,76.0
3237,-\ Bookm,Bookm,100.0
3238,\- N Y World,N Y World,100.0
3239,Bookm 72:xxi S,Bookm,84.33333333333333
3240,•i NY Evening Post,N Y Evening Post,91.0
3241,ooJ'mes rLond°nl Lit Sup,Times [London] Lit Sup,65.66666666666667
3242,"not as the author tells it."" Eugene Lohrke h N Y Evening Post",N Y Evening Post,81.0
3243,~InJlmeB [London] Lit Sup,Times [London] Lit Sup,79.66666666666667
3244,Bookm 71:xxviil Ap,Bookm,81.0
3245,Books p§ Jl,Books,89.0
3246,Books ]>Hi Ap,Books,87.33333333333333
3247,-i- Christian Science Monitor,Christian Science Monitor,98.66666666666667
3248,Times [London] Lit Sup ;>.'•.> O,Times [London] Lit Sup,98.33333333333333
3250,Books P,Books,94.33333333333333
3251,N Y World pll D,N Y World,91.66666666666667
3252,Bookm 71:xviit Ag,Bookm,81.66666666666667
3253,-j -NY Evening Post,N Y Evening Post,91.0
3254,Sat R H9:ll.ri Ja,Sat R,81.66666666666667
3255,j New Repub,New Repub,96.66666666666667
3256,-| NY Evening Post plOm Mr,N Y Evening Post,84.0
3257,•i Outlook,Outlook,96.0
3259,World,N Y World,90.33333333333333
3260,terial for,Dial,53.666666666666664
3261,Sat R 1BO:318 S,Sat R,83.33333333333333
3264,Books iili Je,Books,85.33333333333333
3265,"very badly written."" W. R. Brooks h Outlook",Outlook,76.66666666666667
3266,Booklist 26:2SO Ap,Booklist,87.33333333333333
3267,Bookni,Books,75.33333333333333
3268,"in vogue appear almost accidental."" ,N Y Times",N Y Times,78.33333333333333
3269,Spi inyf'd Republican,Springfield Republican,70.33333333333333
3270,'; Boston Transcript,Boston Transcript,100.0
3271,N Y Times pig Ap,N Y Times,90.66666666666667
3272,-| Sat R of Ult,Sat R,86.33333333333333
3273,-; N Y Evening Post,N Y Evening Post,100.0
3274,Times [London] Lit Sup plOSS D,Times [London] Lit Sup,94.33333333333333
3275,Bookm 71:rvl Jl,Bookm,83.33333333333333
3276,Bookm 71:xix Mr,Bookm,83.33333333333333
3277,"conscious attempt at an archaic style."" h N Y Times",N Y Times,77.0
3278,+'— N Y Evening Post,N Y Evening Post,100.0
3279,j Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
3280,"however, are exceedingly well-written."" N Y Times",N Y Times,77.66666666666667
3281,"woman at large In the world."" \- Books",Books,75.33333333333333
3282,Standl4-K'Sprln0f'd Republican,Springfield Republican,68.33333333333333
3283,Bnokm,Bookm,80.0
3284,h N Y Eveni.nfl Post,N Y Evening Post,80.66666666666667
3285,"Boo km 71,'xxxi Mr",Bookm,56.666666666666664
3286,Bookm 72:xxi O,Bookm,84.33333333333333
3287,world from the late,Cath World,56.333333333333336
3288,N Y World pBm Ag,N Y World,90.66666666666667
3289,Bookm 71:xvl Mr,Bookm,83.33333333333333
3290,New Repuh,New Repub,89.0
3292,| Christian Science Monitor,Christian Science Monitor,100.0
3293,Chicago Daily Tribune pi Ag,Chicago Daily Tribune,96.0
3294,"they don't."" A. B. Parsons h Books",Books,76.33333333333333
3295,Bookhst,Books,82.0
3296,-) Book* plO Ap,Books plO,83.0
3297,Bookm 72:xxv S,Bookm,84.33333333333333
3298,NY Evening Post plOm Ja'25,N Y Evening Post,82.33333333333333
3299,-I Survey,Survey,95.33333333333333
3300,Boo kin 72:xxiv N,N,70.33333333333333
3301,"sound Grade B stuff."" W. R. Brooks h Outlook",Outlook,76.66666666666667
3302,-]- Books plO Ap,Books plO,95.33333333333333
3303,Sprincjfd Republican,Springfield Republican,84.0
3304,—.+ Outlook,Outlook,100.0
3305,Times I London | Lit Sup,Times [London] Lit Sup,92.33333333333333
3306,BOOK!,Books,66.0
3308,__ J_ New Statesman,New Statesman & Nation,73.66666666666667
3311,N Y Evenino Post,N Y Evening Post,94.0
3312,N Y T'mes,N Y Times,74.33333333333333
3313,t- Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
3314,; Sat R,Sat R,100.0
3315,"ness of folklore."" Thomas Craven h Books",Books,74.33333333333333
3316,tion,Nation,86.66666666666667
3317,Brooks^ Qut|ook,Books plO,63.0
3318,-|r Springf'd Republican,Springfield Republican,84.66666666666667
3319,booKm,Bookm,86.66666666666667
3320,Times L London,Times [London] Lit Sup,86.66666666666667
3322,• Bookm,Bookm,100.0
3323,-f- Bookm 71:xxvi Ap,Bookm,81.0
3324,-! Boston Transcript,Boston Transcript,100.0
3325,Bookm 72:vili N,Bookm,83.33333333333333
3326,Boston Transcript pg F,Boston Transcript,95.66666666666667
3327,Spi Ingf'd Republican,Springfield Republican,73.33333333333333
3328,j Books,Books,94.33333333333333
3329,Spritigf'd Republican,Springfield Republican,79.66666666666667
3331,NY World pllm Mr,N Y World,72.0
3332,N Y Times pS O,N Y Times,92.66666666666667
3333,"with English idioms and schoolboy slang."" r- N Y Times",N Y Times,76.66666666666667
3334,"Books i.'is D ""i",Books,84.33333333333333
3335,•H NY Times,N Y Times,84.0
3336,• Atlantic Bookshelf,Atlantic Bookshelf,100.0
3337,Book* pig Mr,Bookm,68.0
3338,; Boston Transcript,Boston Transcript,100.0
3339,"Spec""",Spec,100.0
3340,Current Hist 43:xiv D,Current Hist,91.0
3341,"'+ New"" Repub",New Repub,96.33333333333333
3343,-) Theatre Arts Mo,Theatre Arts Mo,100.0
3344,-J Christian Century,Christian Century,98.0
3345,"enough with his material."" Herschel Brickell h No Am",No Am,72.66666666666667
3346,Current Hist 42:xii Ag,Current Hist,90.33333333333333
3347,year' ^lew'Statesman & Nation,New Statesman & Nation,83.66666666666667
3348,t- N Y Times,N Y Times,96.66666666666667
3350,Forum 94:vli N,Forum,84.33333333333333
3351,; Books plO Je,Books plO,95.33333333333333
3352,Books pig Mr,Books,86.33333333333333
3354,"'"""" Y Hera'd Tribune",N Y Tribune,79.0
3355,-\ . Books plO Jl,Books plO,95.33333333333333
3356,Book* pll S,Books plO,75.33333333333333
3357,Current Hist 42:xii S,Current Hist,91.0
3358,"n the end, to practically nothing."" C. H. G. Sat R of Lit",Sat R of Lit,79.33333333333333
3359,New Repub S4:lll S,New Repub,89.0
3360,Sprlngf'd Republican plO D,Springfield Republican,75.66666666666667
3361,erSa?'R of Lit,Sat R of Lit,78.33333333333333
3362,Current Hist 43:xiil O,Current Hist,90.33333333333333
3363,-r- Christian Science Monitor,Christian Science Monitor,98.66666666666667
3364,N Y Post pll O,N Y  Post,87.33333333333333
3365,New Rcpub,New Repub,89.0
3366,••• Christian Science Monitor,Christian Science Monitor,100.0
3367,"throughout the need of finish."" V. C. Perkins h Commonweal",Commonweal,77.0
3368,+'— Sat R of Lit,Sat R of Lit,100.0
3369,see Wilson bulletin,Wilson bulletin,96.0
3370,-[• Boston Transcript,Boston Transcript,100.0
3371,!- Books,Books,100.0
3372,\- Boston Transcript,Boston Transcript,100.0
3373,Current Hist 42:vli Jl,Current Hist,90.33333333333333
3374,"•Christopher Hale' is worth watching."" K. A. h N Y Times",N Y Times,77.0
3375,Springf'd Republican pS N,Springfield Republican,80.0
3376,Books p« My,Books,89.0
3377,N Y Herald Tribune pis My,Books (N Y Herald Tribune),80.33333333333333
3378,Books IP) My,Books,87.33333333333333
3379,Boston Transcript po My,Boston Transcript,95.0
3380,Chicago Daily Tribune pS Je,Chicago Daily Tribune,96.0
3381,Current Hist 42:xll My,Current Hist,90.33333333333333
3382,Yale R n s 24:vlii summer,Yale R,79.66666666666667
3383,-J- Boston Transcript,Boston Transcript,98.0
3384,N Y Tim«s,N Y Times,92.33333333333333
3385,-{ Chicago Dally Tribune,Chicago Daily Tribune,95.0
3386,•i NY Times p« F,N Y Times,73.66666666666667
3387,N«w Repub,New Repub,92.33333333333333
3388,Books pi:) Mr,Books,87.33333333333333
3389,"leads. N Y T,meg",N,70.66666666666667
3390,-f- Books plO My,Books plO,92.66666666666667
3391,Forum 94:vii S,Forum,84.33333333333333
3392,"superficial reporting."" B. R. Redman Sat R of Lit",Sat R of Lit,80.66666666666667
3393,Books pi As,Books,87.33333333333333
3394,-( Commonweal,Commonweal,100.0
3395,Boston Transcript pS Jl,Boston Transcript,95.0
3396,Forum 93:vll Je,Forum,83.33333333333333
3397,-j- Canadian Forum,Canadian Forum,97.66666666666667
3398,r- Chicago Daily Tribune,Chicago Daily Tribune,98.33333333333333
3399,Bo«ton Transcript,Boston Transcript,96.0
3400,Springf'd Republican pS Je,Springfield Republican,78.66666666666667
3401,reWar+n|'ostOfi Transcript,Boston Transcript,75.66666666666667
3402,j New Statesman & Nation,New Statesman & Nation,98.33333333333333
3403,sprintjf'd Republican,Springfield Republican,79.66666666666667
3404,-t New Statesman «. Nation,New Statesman & Nation,95.33333333333333
3405,-J Sat R,Sat R,94.33333333333333
3406,_ N Y Times plO N,N Y Times,89.66666666666667
3407,-i Chicago Dally Tribune,Chicago Daily Tribune,92.33333333333333
3408,-{ NY Herald Tribune,Books (N Y Herald Tribune),86.0
3409,Current Hist 43:xii O,Current Hist,91.0
3410,Yale R n s 25:vlil autumn,Yale R,79.66666666666667
3411,+'— Nation,Nation,100.0
3412,|L Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
3413,Books pi- S,Books,89.0
3414,]- Times [London] Lit Sup,Times [London] Lit Sup,100.0
3415,-| NY Time*,Time,91.0
3416,"did at the task of research."" N L, R h Sat R of Lit",Sat R of Lit,80.0
3417,N Y Times pB Ap,N Y Times,91.66666666666667
3418,Wis Lib Dm,Wis Lib Bui,79.33333333333333
3419,•i Books,Books,94.33333333333333
3420,-•• Boston Transcript,Boston Transcript,100.0
3421,Current Hist 42:xvl S,Current Hist,91.0
3422,Times [London] Lit Sup plSS Mr,Times [London] Lit Sup,94.33333333333333
3423,Books pll N,Books,87.33333333333333
3424,Books ]>:.i Jl,Books,89.0
3425,Times [London] Lit Sup pllO F,Times [London] Lit Sup,95.0
3426,"""g'jOw""188 [London] Lit S""P",S,69.33333333333333
3427,Books plO AK,Books plO,95.33333333333333
3428,Books ])'-• Ja,Books,92.33333333333333
3429,-(-Boston Transcript,Boston Transcript,100.0
3430,_u Christian Science Monitor pll Ap,Christian Science Monitor,94.33333333333333
3431,NY Tlm«s,N Y Times,62.0
3432,• New Statesman & Nation,New Statesman & Nation,100.0
3433,-| NY Herald Tribune,Books (N Y Herald Tribune),86.0
3434,"raises the pulse of the reader."" Harold Strauss N Y Tlm«8",N,68.0
3435,Current Hist 42:xiv S,Current Hist,91.0
3436,an * Nation,Nation,93.33333333333333
3437,'+ 'Boston Transcript,Boston Transcript,100.0
3438,[. New Repub,New Repub,100.0
3439,'+ Sprlngf'd Republican,Springfield Republican,82.66666666666667
3440,-• Boston Transcript,Boston Transcript,100.0
3441,Chicago Dally Tribune plO D,Chicago Daily Tribune,87.0
3442,Current Hist 41:vil Mr,Current Hist,90.33333333333333
3443,"will be followed by an age of grace."" M. P. E. Living Church",Living Church,79.33333333333333
3444,Christian Science Monitor pig D,Christian Science Monitor,96.33333333333333
3445,Cleveland Open Shelf plO Je,Cleveland Open Shelf,95.0
3446,•i NY Times,N Y Times,84.0
3447,i- Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
3448,Books i'is Je,Books,85.33333333333333
3449,! • Boston Transcript,Boston Transcript,100.0
3450,Current Hist 42:vil Je,Current Hist,90.33333333333333
3451,NY Times pG My,N Y Times,73.66666666666667
3452,"'^jJ1""1""8 [London] Lit Sup",Times [London] Lit Sup,75.33333333333333
3453,__ Books,Books,92.33333333333333
3454,••)- Boston Transcript pi Jl,Boston Transcript,95.0
3455,Christian Science Monitor pi I Jl,Christian Science Monitor,95.33333333333333
3456,I New Statesman & Nation,New Statesman & Nation,98.33333333333333
3457,(- Library J,Library J,100.0
3458,Books i.l Jl,Books,86.33333333333333
3459,j Boston Transcript,Boston Transcript,98.0
3460,Times [London] Lit Sup plTC Jl,Times [London] Lit Sup,94.33333333333333
3461,N Y Herald Tribune pll Jl,Books (N Y Herald Tribune),80.33333333333333
3462,Times [London] Lft Sup,Times [London] Lit Sup,95.0
3463,Current Hist 43:xll O,Current Hist,91.0
3464,:• Nation,Nation,100.0
3465,-j No Am,No Am,94.33333333333333
3466,. Christian Science Monitor pll Ag,Christian Science Monitor,96.0
3468,"graphical novel."" E. H. Walton Forum",Forum,75.66666666666667
3469,f- New Statesman & Nation,New Statesman & Nation,98.33333333333333
3470,Boston Trantcrlpt,Boston Transcript,88.0
3471,•• Chicago Dally Tribune,Chicago Daily Tribune,95.0
3472,-{- Christian Science Monitor,Christian Science Monitor,100.0
3473,-t- Sprimjf'd Republican,Springfield Republican,75.66666666666667
3474,Yale R n s 24:viil summer,Yale R,79.66666666666667
3475,Christian Science Monitor pll' O,Christian Science Monitor,96.33333333333333
3476,times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
3477,Christian Science Monitor plS O,Christian Science Monitor,96.33333333333333
3478,E' °' S'Christian Science Monitor,Christian Science Monitor,97.66666666666667
3479,N Y Times pO Jl,N Y Times,91.66666666666667
3480,"but an intriguing story."" . •»«» r- Springf'd Republican",Springfield Republican,68.33333333333333
3481,Books plB My,Books,86.33333333333333
3482,-'- New Statesman & Nation,New Statesman & Nation,100.0
3483,h N Y Post,N Y  Post,94.33333333333333
3484,"of typical southern characters."" Jonathan Sat R of Lit",Sat R of Lit,79.33333333333333
3485,"enough1""_r)mes [Lond0n] Lit Sup",Times [London] Lit Sup,69.33333333333333
3486,r- Nation,Nation,95.33333333333333
3487,"that it is tenuous without being subtle."" B. D. |- Sat R of Lit",Sat R of Lit,78.33333333333333
3488,Sprlngf'd Republican pfic My,Springfield Republican,72.66666666666667
3489,"quality of her Imagination."" Graham Greene h Spec",Spec,72.0
3490,">adly overwritten."" B. H. Walton h Forum 93:vii My",Forum,73.33333333333333
3491,School Arts M,Theatre Arts Mo,58.666666666666664
3492,Books plS D,Books,87.33333333333333
3493,Current Hist 43:vil Ja,Current Hist,90.33333333333333
3494,"Books |,:. s i •;;,,",Books,90.33333333333333
3495,N Y Time* pll,Time,83.33333333333333
3496,-r Sat R of Lit,Sat R of Lit,97.33333333333333
3497,Sprinrjf'd Republican,Springfield Republican,79.66666666666667
3498,"with no destination in sight."" Lisle Bell h Books pll Ag",Books,72.33333333333333
3499,!- Books plO Ja,Books plO,95.33333333333333
3500,-{ Boston Transcript,Boston Transcript,100.0
3501,Current Hist 43:xlv D,Current Hist,91.0
3502,Springf'd Republican pic Ja,Springfield Republican,77.33333333333333
3503,Books plO As,Books plO,95.33333333333333
3504,N Y Times pSl D,N Y Times,91.66666666666667
3505,Current Hist 42:vii Ag,Current Hist,90.33333333333333
3506,-I Springfd Republican,Springfield Republican,87.33333333333333
3507,-J NY Post,N Y  Post,80.33333333333333
3508,Cath WorW,Cath World,85.66666666666667
3509,Current Hist 42:xvi My,Current Hist,90.33333333333333
3510,New Outlook,New Outlook,100.0
3511,. Boston Transcript,Boston Transcript,100.0
3512,-.- Boston Transcript,Boston Transcript,100.0
3513,", Christian Science Monitor",Christian Science Monitor,100.0
3514,-t Yale R n s,Yale R,89.0
3515,"area to be long remembered."" Lucy Tompkins h N Y Times",N Y Times,76.66666666666667
3516,N Y Times pi!) Ap,N Y Times,91.66666666666667
3517,[London3 Li* Sup,Times [London] Lit Sup,80.0
3518,• t Books,Books,94.33333333333333
3519,Current Hist 43:xli N,Current Hist,91.0
3520,•I- Christian Science Monitor,Christian Science Monitor,98.66666666666667
3521,-I No Am,No Am,94.33333333333333
3522,-!• Springf'd Republican,Springfield Republican,87.33333333333333
3523,"pulled his book sadly askew."" Mary McCarthy h Nation",Nation,73.66666666666667
3524,Current Hltt 42:xvl Jl,Current Hist,72.0
3525,Forum 94:vli O,Forum,84.33333333333333
3526,-| Am Pol Scl R,No Am,54.666666666666664
3527,h Ann Am Acad,Ann Am Acad,97.33333333333333
3528,Current Hist 43:xlii N,Current Hist,90.33333333333333
3529,-| Books plO Jl,Books plO,95.33333333333333
3530,h Books pll P,Books,85.33333333333333
3531,Forum 93:vii Ap,Forum,83.33333333333333
3532,N Y Tim«» pfi F,N,71.33333333333333
3533,Forum 93:vill Mr,Forum,82.66666666666667
3534,Dally Tribune,Chicago Daily Tribune,78.0
3535,Current Hist 41:vii Mr,Current Hist,90.33333333333333
3536,(- sat R of Lit,Sat R of Lit,97.33333333333333
3537,Forum 93:vii Mr,Forum,83.33333333333333
3538,Sat R of Ltt,Sat R of Lit,92.0
3539,-j- N Y Times,N Y Times,96.66666666666667
3540,-;- Boston Transcript,Boston Transcript,100.0
3541,J New statesman & Nation,New Statesman & Nation,96.66666666666667
3542,Forum 94:viii D,Forum,83.33333333333333
3543,•} NY Times,N Y Times,90.0
3544,New Re-pub,New Repub,79.0
3545,-t- Books pll F,Books,85.33333333333333
3546,-) Books pi Ja,Books,87.33333333333333
3547,f- New Statesman &. Nation,New Statesman & Nation,96.66666666666667
3548,"more than superficial."" Graham Greene T Spec",Spec,72.33333333333333
3549,Forum 93:vil Je,Forum,83.33333333333333
3550,-/ NY Times,N Y Times,90.0
3551,-I Atlantic Bookshelf,Atlantic Bookshelf,98.33333333333333
3552,", New Statesman & Nation",New Statesman & Nation,100.0
3553,-j NY Post,N Y  Post,80.33333333333333
3554,"picture scenario than as a novel."" I. O'R. h Boston Transcript",Boston Transcript,81.66666666666667
3555,"the Fourteenth Britannica."" Malcolm Cowley New Repub",New Repub,77.0
3556,! New Statesman A Nation,New Statesman & Nation,96.66666666666667
3557,Times [LoiKlon] Lit Sup,Times [London] Lit Sup,87.33333333333333
3558,-I Christian Science Monitor plO O,Christian Science Monitor,95.33333333333333
3559,Current Hist 43:xlll O,Current Hist,90.33333333333333
3560,•• Springfd Republican,Springfield Republican,90.66666666666667
3561,-| New Statesman <£. Nation,New Statesman & Nation,95.33333333333333
3562,Spec 154:sup506 Mr,Spec,78.66666666666667
3563,-( Library J,Library J,100.0
3564,W' R+ Saffl Of Lit,Sat R of Lit,75.33333333333333
3565,-| Books pg Mr,Books,87.33333333333333
3566,-) Christian Science Monitor pi I F,Christian Science Monitor,96.0
3567,"what he is writing about."" Anita Brenner h N Y Times",N Y Times,77.0
3568,Chicaao Daily Tribune,Chicago Daily Tribune,95.0
3569,"lOOw""* London] Llt Sup",Times [London] Lit Sup,69.0
3570,-h Sat R of Lit,Sat R of Lit,97.33333333333333
3572,I Books jul Je,Books,84.33333333333333
3573,"illusion of life."" Margaret Wallace h N Y Times",N Y Times,77.66666666666667
3574,Spec 154:sup504 Mr,Spec,78.66666666666667
3575,-{ Sprcngf d Republican,Springfield Republican,82.66666666666667
3576,•i- Boston Transcript,Boston Transcript,98.0
3577,! • Books,Books,100.0
3578,"essential for him to do more."" H. M. Jones Sat R of Lit",Sat R of Lit,79.33333333333333
3579,Times | London) Lit Sup,Times [London] Lit Sup,95.33333333333333
3580,Current Hist 43:vii Ja,Current Hist,90.33333333333333
3581,Books plS Jl,Books,86.33333333333333
3582,-( Christian Century,Christian Century,100.0
3583,-t Living Church,Living Church,97.66666666666667
3584,Sat R at Lit,Sat R,86.33333333333333
3585,Current Hist 42:xil Ag,Current Hist,90.33333333333333
3586,Pr°+ N Y'Times pll Jl,N Y Times,84.33333333333333
3587,Stolberg^ Bookg pl Q,Books plO,64.0
3588,Boston Transcript pl O,Boston Transcript,95.66666666666667
3589,fication. Tjmeg LLondon] Lit Sup,Times [London] Lit Sup,76.66666666666667
3590,i Christian Science Monitor pll Je,Christian Science Monitor,95.0
3591,-f- Forum,Forum,94.33333333333333
3592,; Christian Science Monitor plO Je,Christian Science Monitor,96.0
3593,__ r- Nation,Nation,90.33333333333333
3594,Current Hist 42:vii Jl,Current Hist,90.33333333333333
3595,"""Znt+ia?tR""of Lit",Sat R of Lit,73.33333333333333
3596,-r Books,Books,94.33333333333333
3597,Cleveland Open Shelf pll Je,Cleveland Open Shelf,95.0
3598,*j New Repub,New Repub,96.66666666666667
3599,Christian Science Monitor pig N,Christian Science Monitor,96.33333333333333
3600,N Y Times pG O,N Y Times,92.66666666666667
3602,Cleveland Open Siv h,Cleveland Open Shelf,82.33333333333333
3603,Sprlrvfjf'd Republican,Springfield Republican,69.66666666666667
3604,Current Hist 43:xil O,Current Hist,91.0
3605,-I NY Herald Tribune,Books (N Y Herald Tribune),83.0
3606,-.- Chicago Daily Tribune pll Ag,Chicago Daily Tribune,95.33333333333333
3607,N Y Time* pC Je,Time,81.33333333333333
3608,Spec 163:sup38 N,Spec,80.0
3609,Current Hist 43:xiii D,Current Hist,90.33333333333333
3610,E' Forum 94:vil O,Forum,82.66666666666667
3611,Ij New Repub,New Repub,95.33333333333333
3612,"""Bt+ Jf'sft R of Lit",Sat R of Lit,78.66666666666667
3614,-f- Sprlngf'd Republican,Springfield Republican,80.0
3615,•+- New Statesman & Nation,New Statesman & Nation,100.0
3616,N Y Times pG N,N Y Times,92.66666666666667
3617,biographical sketch see Sat R of Lit,Sat R of Lit,83.33333333333333
3618,"""70?hristian Science Monitor pll Jl",Christian Science Monitor,86.0
3619,-i- Boston Transcript,Boston Transcript,98.0
