,occurence
Nation and At'h,2
-j- Survey,2
"St., Boston",2
Boo km 71:xxviii Ap,2
N Y Times plS My IS,2
A' B' NY Times,2
Chicago Sun pTX My,2
Bookm 71:xxlv Ap,2
"as, indeed, it is and a contrary desire to es-",2
N Y Times pB Mr,2
•• Crozcr Q,2
N Y World pi,2
. St Louis,2
^TJmes [London] Lit Sup,2
(One hour ser.),2
'+ '— Library J,2
f— Sat R of Lit,2
Books ill i S,2
"ing very original but Is often quite amusing."" H Bookm",2
D' +' -?^M,2
"SAMSON, LEON. New humanism.",2
Washburn,2
I New Yorker,2
J- Sat R of Lit,2
Times [London] Lit Sup pCUl N,2
"period of social release is quite well done."" New Yorker",2
N Y World i)llni Ap,2
a. _ N Y Herald Tribune Wkly Bk R,2
NY Times plS Ag,2
-': Chicago Dally Tribune,2
St Loul*,2
h Christian Science Monitor pll F t,2
-{ Kirkus,2
"of the characters, however, are well done."" r- Boston Transcript",2
"NY Herald Tri""""""e Wkly Bk R",2
UI>NY Times,2
Springf'd Republican pSC Ap,2
"""Library J",2
e N Y Herald Tribune Wkly Bk R,2
-| ■ Yale R n s,2
r Commonweal,2
"of the best material."" L. A. G. Strong h Spec",2
'-NY Herald Tribune Wkly Bk R,2
Bookm 72:xvl F,2
-r New Statesman,2
\- Books pll Ag,2
Forum 86:xvi N,2
Chicago Sun AK,2
-j- Am Mercury 25:xxlv Ja,2
"we glimpse a lovely spirit behind It all."" h Boston Transcript",2
N Y Tim** pSO,2
",Jimes [London] Lit Sup",2
Book* pi F I,2
"""— Boston Tr*nscrlpt pi F",2
Current HIM,2
Sunday Tribune,2
Library J 74:1J61 O,2
"mental gymnastics."" W. J. Fadlman h Books",2
N Y Times pG Ap,2
"with authority by one ""In the know.' ""\- Boston Transcript",2
"gratiating as The Constant Nymph."" (- Forum",2
N Y Times pig My S,2
"able to produce in almost unlimited quantities."" \- N Y Times",2
Booklist 45:217:279 Mr,2
y Pratt,2
-I Spec 147:supi25 O,2
N Y World pll F,2
Forum 86:xix D,2
"detachment."" Margaret Watterson f- Books",2
■ Bookm,2
Times rLondon,2
-T San Francisco Chronicle,2
"storms and tropical doldrums."" Horace Gregory N Y Evening Post",2
-( Forum 86:xiv JI,2
N Y World-Telegram,2
Sprlngf'd Republican pSC O,2
Times TLondonl Lit Sup,2
-+- Christian Science Monitor plO My,2
Forum 85:xviil My,2
(- Books pll Ag,2
UP' Spec,2
Bookm 7i:iv D,2
Times [London] Lit Sup pll02 D,2
-J- Springf'd Republican,2
Manchester Guardian pS Ja,2
"socialistic-minded onlooker."" V. P. Ross Outlook",2
"^ , New Repub",2
San Francisco Chronicle pll,2
Forum 86:xii Ag,2
•i New Yorker,2
-) Books pi S,2
"aganda, his drunken sinners are living people."" h N Y Times",2
■+- Times [London] Lit Sup plO Ja,2
Am Mercury 25:xxvi F,2
Springfd' Republican,2
Bookm 73:xxiil Mr,2
Chicago Sun Jl S,2
"of the Venetian episode, there is beauty."" New Repub",2
"you anxious, impressed, yet unappeased."" h Outlook",2
Nature 128:sup620 O,2
■f Chicago Daily Tribune pS Ja,2
•J- N Y Times,2
will find,2
"Outlook 15."":550 Ag",2
Bookm 72:xxvl N,2
Cleveland Open Shelf pie Jl,2
Bookm 71:xxi Ag,2
Springf'd Republcan,2
"than the mystery of the treasure."" P. S. Alrd Books",2
Books pi N i,2
-I Books pi My,2
New Statesman 36:sup xviil D,2
Springf'd Republican pSB S,2
"adequately bound."" D. V. Thompson, Jr. h Yale R n s",2
Outlook 167:407HrT3nil,2
Forum 86:xiv S,2
OUtlook,2
New Ftepub,2
"there are gaps of let-down in between."" h Books plG S",2
"Ha'Sb+""sat R of Lit",2
+■ Christian Century,2
Forum 86:xii Jl,2
r Ann Am Acad,2
-h San Francisco Chronicle pis D,2
Books pH Ag,2
Books nil Ja,2
Am Mercury 25:xxviil F,2
"unimpressive."" Herschel Brlckell h Books",2
Spec 146:sup511 Mr,2
"characterizations arc without distinction."" f- Nation",2
Springf'd Republican i>lD My,2
Forum 85:xitl Je,2
Times [London] Lit Sup pllg F,2
School <&. Society,2
-NY Evening Post,2
^,2
-I NY Evening Post pllm My,2
Bookm 71:xxl Ag,2
"Chicago Sunday Tribune p."" D",2
-r Books pll D,2
•I- San Francisco Chronicle plO N,2
New Statesman 35:sup xvl My,2
tion of his seventieth birthday.,2
vard univ. press,2
Nature 126:sup537 O,2
Bookm 72:xxili S,2
-j- Commonweal,2
"untried powers."" Herschel Brickell Books",2
{ Chicago Sun Mr,2
h U S Quarterly Bkl,2
h Forum S7:xiv F,2
koeter.,2
New Reputo,2
Sprlngfd Union,2
-f- Kirkus,2
Springf'd Union pll JI,2
-I Chicago Sun Book Week N,2
Chicago Sun Book Waek N,2
f Commonweal,2
-j . Times [London] Lit Sup,2
"of the classic experience of Western man."" \- Time",2
N Y Times pSO Mr,2
I- Klrkus,2
"tive analysis of that material."" Mark Schorer t- N Y Times",2
h Christian Science Monitor pll Mr,2
"his few ideas to death."" L. P. Hartley Sat R",2
Chicago Daily Tribune pll O,2
Nation and Ath 48:sup354 D,2
Christian Science Monitor pl$ Ap,2
-| Sprlngf d Republican,2
| Outlook,2
N Y Evening Post plOm Ja,2
19jSpringf'd Republican,2
World plOrn Ap ZT,2
Books ]i!7 S,2
Boston Transcript po Ap,2
j New Statesman,2
Wis Lib Bui pg N,2
Kirkus 17:4-10 Ag,2
and characters under a pressure of about,2
Spec 14-1:1071 Je,2
•i- Sprlngf'd Republican,2
N Y Times pll JI,2
Bookm 70:xxvi F,2
San Franclcco Chronicle,2
•!- Chicago Sun Book Week,2
Chicago Sun Book Week plla D,2
"\- Book,11",2
"San ^ra""cl»co Chronicle",2
i Christian Century,2
-| NY Times pi N,2
"a"" Franci8co Chronicle",2
Chicago Sun Book Week pS F,2
San Francisco Chronicle pIG N II,2
Times [London] Lit Sup pUll Ag,2
Fran^isco Chronicle,2
lt>SH Sat R of Lit,2
: Chicago Sun Book Week,2
San Francisco Chronicle pig Je,2
San Francisco chronicle,2
h Chicago Sun Book Week plO Jl,2
"little to solve tha problem."" David Dempsey h N Y Times",2
"L, N Y Herald Tribune Wkly Bk R",2
}• San Francisco Chronicle,2
San Francisco Chronicle pS Jl,2
NY Times plf Mr,2
-) Atlantic,2
Je S,2
i- San Francisco Chronicle plO Je,2
Sprlngf'd Republican plOB O,2
Sprinyf'd Republican plOB N,2
•I- Cath World,2
~;«San Francisco Chronicle,2
Tr'bune Wkly Bk R,2
Library J 72:1.375 O,2
"flat. Not recommended."" R. P. Tubby Library J",2
'- San Francisco Chronicle,2
-J- Sat R of Lit,2
Chicago Sun Book Week pi Ja,2
-! Christian Science Monitor,2
j- San Francisco Chronicle,2
! U S Quarterly Bkl,2
"valid dramatic situations."" Hal Borland (- N Y Times",2
-f- —• San Francisco Chronicle,2
"W*"" Francisco Chronicle",2
'+'Sat R of Lit,2
Spi inijf'd Union,2
*H Sat R of Lit,2
N IA,2
CUPPy N Y Herald Tribune Wkly Bk R,2
4Sprln9f>d Republican plOB N,2
Kirkus 15:6il N,2
~25N'4Y220wa'd Tribune Wkly Bk R,2
Christian education.,2
-| San Francisco Chronicle plO Je,2
Yale Una,2
Chicago Sunday Tribune pi I D,2
"lin's material has betrayed her."" h N Y Times",2
Silver key.,2
NY Evening Poet,2
'•• ' New Statesman,2
Times [London] Lit Sup plOOO N,2
h Bookm 72:xviii S,2
"1\Jij""es [London] Lit Sup",2
NY World plOm F,2
!• Ann Am Acad,2
Am j Soc,2
•I N Y Herald Tribune Wkly Bk R,2
II,2
",",2
Books pi! Mr,2
-| NY Evening Post plO F,2
"""t .™X,.Herald Tribune Wkly Bk R",2
( Times [London] Lit Sup,2
• Manchester Guardian,2
"abilities, something better."" F. T. Marsh h Books",2
t- San Francisco Chronicle,2
Times [London] Lit Sup pl!7 p,2
San Francisco Chronicle plO My,2
-| NY World plOm Ja,2
"In a heavy sea of data and description."" h Books",2
"parts. Its artlessness,",2
Bookm 72:xxll S,2
_j NY Herald Tribune Wkly Bk R,2
h N Y Evening Post pllm Mr,2
Wis Lib Bui pit D,2
-f- N Y Evening Post plOm My,2
h N Y World pllm F,2
h Books plO Je,2
Yale R n s 20:viii autumn,2
Christian Science Monitor pll,2
Books plU Jl,2
Wkly Bk R,2
Cleveland Open Shelf pio My,2
Spec 145:sup470 O,2
-•• Horn Bk,2
Chicago Daily Tribune pll Ap,2
-t- Manchester Guardian,2
~LJimes [London] Lit Sup,2
Bookm 71:xvili Ag,2
N Y Times p'J F,2
_i Springf'd Republican,2
San Francisco Chronicle pis D,2
S°n Cath World,2
-!- Atlantic,2
_ N Y World pllm Ap,2
Christian Science Monitor plG My,2
Books lilt My,2
Sprlngf'd Republican pTB Jl,2
Spniujf'd Republican,2
-{- Chicago Sunday Tribune,2
-I NY Times pi F,2
Booklist 27:1G5 D,2
Christian Sclenct Monitor pll Ja IS,2
Mf T.?,2
"""Runs to over",2
Book* pg N,2
Ni Y Herald Tribune Wkly Bk R,2
Spec I44:fi33 Ap,2
LTlmes fLondon] Lit Sup,2
h Klrku*,2
Bookm 70:xxll O,2
New York»r,2
San Francisco Chronicle pig N,2
Manchester Guardian p.'i Ax,2
bk.,2
Bookm 71:xxvil Mr,2
•— San Francisco Chronicle,2
h- N Y World,2
"Bookir, 71:xxv Ap",2
•'•- Christian Science Monitor pll Je,2
•f- San Francisco Chronicle,2
the German by Cyrus Brooks.,2
"frustration and fulfillment."" Tom Davln r N Y World",2
Bookm 71:xxvlii Ap,2
"sincere love.""—N T Times",2
f New Statesman & Nation,2
Booklist 45:2G4 Ap,2
Springf'd Republican pSC My,2
h N Y Times plS Jl,2
-I Chicago Sun Mr,2
-•: Books,2
! Klrkus,2
-I Chicago Sun Ag,2
Tribune Bk R,2
Books pi?. My,2
-I NY World pllm F,2
•J Outlook,2
Times [Londonj Lit Sup,2
h Bookm 72:xiii O,2
h Nation and Ath 48:sup352 D,2
•— N Y Times,2
-{ San Francisco Chronicle,2
Macfadden.,2
Bookm 72:viii D,2
-| Christian Science Monitor pll,2
•;- Times [London] Lit Sup,2
)- Bookm,2
N Y Evening Post pBs Jl,2
Bookm 71:xxvli Ap,2
"burlesques of trials and executions."" f- N Y Tlmet",2
-I Christian Science Monitor pll D,2
-) Books pi Ja,2
Nation ir.4:«7 Ap,2
Sal! R of Lit,2
lnBj Ath,2
"if only in three dimensional space."" [- Books",2
"life Is, to put it gently as possible, a bore."" New Repub",2
Chlcaoo Sun,2
ltS+'—SA L A Bkl,2
•i Outlook,2
"F ""l",2
San Francisco Chronicle pi:; Mr,2
Boo kin 72:xxiv N,2
-| NY Evening Post plOm Mr,2
-i Sprlngf'd Republican plSA Ag,2
Sprlngfd Republican plO N,2
Chicago Sun pTX F,2
°' World Tomorrow,2
[- Nation,2
authors can^ s°;atesman 35:1B1 My,2
Sprlngf'd Republican p!7Ap20'19600w,2
"sound Grade B stuff."" W. R. Brooks h Outlook",2
NY Evening Post plOm Ja'25,2
-| Chicago Sun Ag,2
Sprlngf'd Republican plo Jl,2
| Christian Science Monitor,2
Bookm 72:vll O,2
-I Survey,2
SOv,2
Sprlngf'd Republican plSA Jl,2
Current Hist 43:vil Ja,2
!- Books plO Ja,2
"with no destination in sight."" Lisle Bell h Books pll Ag",2
"San Francisco Chronicle p.""! Je",2
Books plB Ap,2
-!- N Y Herald Tribune Wkly Bk R,2
Nation and Ath 47:53!!,2
N Y Time* pll,2
. Pittsburgh Mo Bui,2
Bookm 72:xxlli S,2
"Books |,:. s i •;;,,",2
"New Repub 118:32,Ja",2
"moving •fo-""4.MU Je",2
San Francisco Chronicle pis Ap,2
School Arts M,2
">adly overwritten."" B. H. Walton h Forum 93:vii My",2
Current Hist 42:xll My,2
"quality of her Imagination."" Graham Greene h Spec",2
: Christian Science Monitor plO N,2
-*- N Y Times,2
"^ N Y Times 24:C:,7 N l<i",2
-| . Bookrti,2
Bookm 71:xxlv Mr,2
Springf'd Republican plOB,2
Springf'd Republican pl» N,2
World,2
"thor fails to create a reader fails to retain."" h Bookm",2
Bookm 71:xviit Ag,2
Books P,2
book will interest readers from,2
•] The Times [London] Lit Sup,2
written and published in Russia between,2
-) Dial 6(i:GC6 Jc,2
Library J 73:119ii S,2
NY Times plD Ap,2
N Y Evenino Post,2
"additional lustre on the famous author."" F. A. G. Boston Transcript",2
"Teresa's father. It is of unusual beauty."" N Y Times",2
yei eT-y*- Jl,2
N Y Times pG D,2
i Christian Science Monitor pi,2
Bookm 49:4~>2 Je,2
N Y T'mes,2
N Y Evening Pott pllm F,2
San Francisco Chronicle pin F,2
of his weakness and his weakness Is some-,2
-j -NY Evening Post,2
Springfd Republican pllB Je,2
r- Chicago Sun Jl,2
Wkpy Bk R,2
Booklist 26:2S3 Ap,2
-f- Chicago Sun My,2
-r R of Rs 60:1-18 O,2
•\ NY Time*,2
"W,s Lib Bui",2
Sprlngfd Republican plSa Ja,2
of the Fifth Army in,2
-{ Sprlngfd Republican,2
-[- Manchester Guardian,2
Bookm 72:xxv S,2
Chicago Daily Tribune pi Ag,2
-\ Atlantic,2
"they don't."" A. B. Parsons h Books",2
Outlook 123:l!to'o,2
"straint a series of pictures, episodes and con-",2
-r Springfd Republican plGa Ja,2
H- Review,2
•: Nation,2
Bookhst,2
-) Book* plO Ap,2
~- Springfd Republican,2
-J Dial,2
_). __ New Repub,2
San Franoisco Chronicle,2
__ J_ New Statesman,2
-• San Francisco Chronicle,2
-j N Y Evening Post plOm Mr,2
• Christian Science Monitor pll S,2
Bookm 71:xiv Je,2
-) Book* pll D,2
N Y Herald Tribune pis My,2
-( New Statesman & Nation,2
Current Hist 33:xii N,2
Current Hist 42:vli Jl,2
-j- Hist Outlook,2
h Books pll P,2
-t Kirkus,2
"throughout the need of finish."" V. C. Perkins h Commonweal",2
Current Hist 43:xlii N,2
San Francisco Chronicle pi!) Je,2
Sprlngf'd Republican plEA Ag,2
h Ann Am Acad,2
see Wilson bulletin,2
-| Am Pol Scl R,2
"'-{-""Nation and Ath",2
-I Spec 144:7.10 My,2
"show is spoiled."" W. J. Fadiman h Bookm",2
Forum 94:vli O,2
Current Hltt 42:xvl Jl,2
Revolution of,2
Nation and Ath 47:1SO My,2
"something of their force."" E. W. Hawkins h Atlantic Bookshelf",2
V-+-_^NrrYnTimes,2
"pulled his book sadly askew."" Mary McCarthy h Nation",2
Now Repub,2
"Spec'141:10f,6 Je",2
N Y Evening Port plOm Aj>,2
Bookm 71:vill Ag,2
[London3 Li* Sup,2
N Y Times pi!) Ap,2
-| NY Tlme«,2
"area to be long remembered."" Lucy Tompkins h N Y Times",2
foreign rights on the book and Mario sees,2
Jews.,2
-t Yale R n s,2
-.- Boston Transcript,2
Bookni 72:xxlv D,2
San Francisco Chronicle plii Ap,2
NY Herald Tribur*- Wkly Bk R,2
"""m""_ Outlook",2
Cath WorW,2
"•Christopher Hale' is worth watching."" K. A. h N Y Times",2
Springf'd Republican pS N,2
Times [London] Lit Sup plO'S D,2
Books p« My,2
N Y Evening Post pllra P IB,2
-J NY Post,2
j- Books plO N,2
[ New Repub,2
"""Its title and the fact that Is costs only",2
Boston Trantcrlpt,2
E' °' S'Christian Science Monitor,2
times [London] Lit Sup,2
Christian Science Monitor pll' O,2
"WILLIAMS, BEN AMES. Touchstone.",2
-{ Chicago Dally Tribune,2
Yale R n s 24:viil summer,2
•i NY Times p« F,2
-t- Sprimjf'd Republican,2
-{- Christian Science Monitor,2
•• Chicago Dally Tribune,2
Booklist 44:3S3 Jl,2
-} • Springf'd Republican,2
"that it is tenuous without being subtle."" B. D. |- Sat R of Lit",2
San Francisco Chronicle plO D IS,2
N Y Times pSl D,2
"Book,,i",2
"Ivan Ilyitch, and",2
Books pH My,2
Books plO As,2
Times tLondon] Lit Sup,2
-[ Commonweal,2
Springf'd Republican pic Ja,2
N Y Times pO Jl,2
-J- Boston Transcript,2
-NY Evening Post pllm Ap,2
Sprlngf'd Republican pfic My,2
-!• Springf'd Republican,2
Sat R of lit,2
Books p* N,2
•I- Christian Science Monitor,2
Sprimjf'd Republican plOB Ap,2
-i- Nation,2
• t Books,2
Books IP) My,2
Current Hist 42:vii Ag,2
N Y Tlmei pG F,2
-)• U S Quarterly Bkl,2
Yale R n s 24:vlii summer,2
"enough1""_r)mes [Lond0n] Lit Sup",2
"of typical southern characters."" Jonathan Sat R of Lit",2
Boo km 71:xxvi Ap,2
-| Chicago Sun Ja,2
h N Y Post,2
_| Bookm,2
-'- New Statesman & Nation,2
"simple to prove that aristocracy Is degenerate."" New Statesman",2
Books plB My,2
"but an intriguing story."" . •»«» r- Springf'd Republican",2
-]- Books plO Ap,2
"not be sure."" H. H. Dinsmore H Books",2
\- Christian Science Monitor pll Ag,2
Wis Lib Bu|,2
"leaves with the reader Is one of confusion."" N Y Times",2
Books HI; Ap,2
-i Christian Century,2
(- Sprfngfd Republican plO D,2
"not as the author tells it."" Eugene Lohrke h N Y Evening Post",2
Sit R of Lit,2
NY World pll O,2
-~ Books,2
"shocker, sub-class incredible."" Will Cuppy h Books",2
N Y Herald Tribune V/kly Bk R,2
"produced a living novel."" W.",2
ooJ'mes rLond°nl Lit Sup,2
Bookm 72:xxi S,2
-| Bellman,2
"dilemma she will choose."" Lewis Gannett f- N Y Herald Tribune",2
tion,2
"reader in on the secret."" Isaac Anderson h N Y Times",2
~InJlmeB [London] Lit Sup,2
"available elsewhere."" K. P. Kempton h N Y Tlmei",2
Forum 93:vil Ap,2
; Nation,2
Christian Science Monitor pit F,2
Boston Transcript ul Ap,2
Books pH N,2
Chicago Dally Tribune pll Mr,2
h Review,2
• Sat R,2
-r Spec,2
TJl J,2
'+ Springf d Republican,2
"Bl"" Horn Bk",2
Cleveland plOC N,2
Sprlngf'd Republican plo N,2
Sprlngf'd Republican plS N,2
Bookm 72:xxi O,2
Bnokm,2
NY Times 2!:7S:> D H,2
NY Evening Pott pllm My,2
"very badly written."" W. R. Brooks h Outlook",2
N Y Call pll X,2
h N Y Eveni.nfl Post,2
"""*+^prlngf'd Republican",2
"musical genius and lady-killer."" r- N Y Times",2
"Boo km 71,'xxxi Mr",2
N Y Call plO O,2
Times [London] Lit Sup ;>.'•.> O,2
editors immediately accept for,2
:N Y Times,2
Forum 94:vil S,2
Current Hist 43:xill O,2
Standl4-K'Sprln0f'd Republican,2
Brooks^ Qut|ook,2
'-t- N Y Times,2
"N Y ""Times pll N",2
Chicago Daily Tribune pH Mr,2
"Sprlngf'd Republican p""o An",2
Times [London] Lit Sup plOlO N,2
The death at the age of,2
Boo km 71:xvii Jl,2
gin cocktails and modern ideas into a,2
-) . Springf'd Republican,2
Books p§ Jl,2
Times [London] Lit Sup pSfil,2
"than convincing."" Isaac Anderson N Y Tlm«s",2
Sat R of Lit 11:iiis Ap,2
"that much more might have been done with it."" h N Y Times",2
; Sat R,2
J Sat R,2
\- N Y World,2
-|r Springf'd Republican,2
Books ]>Hi Ap,2
"Mr. Osbert Sitwell."" V. S. Prltchett h Spec",2
-+- Commonweal,2
Wis Lib Bui pi I D,2
Book.11 72:viii D,2
-H New Yorker,2
Chicago Dally Tribune pS Je,2
Tlmea [London] Lit Sup plO Ja,2
•f Christian Science Monitor plO Je,2
Books j.l S,2
Books i-.i I Je,2
"on the necessary epic scale."" E. H. Walton h Forum",2
•i NY Evening Post,2
-f- San Francisco Chronicle plS Ap,2
'+ 'Outlook,2
Tlmei [London] Lit Sup pl!02 D,2
NY Times plO N,2
lt/ VI:,2
•I- Books pi Je,2
Bookm 71:xxviil Ap,2
Books plG N,2
Cleveland Open Shelf ploO D,2
Bookm 71:xvi Jl,2
"molded of wax."" J. S. Southron N Y Times",2
-| NY World plOm F,2
Bosks,2
"sharply above her present material."" W. B. New Repub",2
Bookm 72:vli N,2
"ness of folklore."" Thomas Craven h Books",2
-| NY Timea,2
-I Christian Science Monitor pll N,2
Booklist 26:2SO Ap,2
—.+ Outlook,2
Sprlngf'd Republican plBA F,2
i Cleveland,2
I- San Francisco Chronicle plO Ag,2
-| Sat R of Ult,2
Books pa Je,2
-i Sprlngf d Republican,2
'; Boston Transcript,2
-H San Francisco Chronicle,2
'+ N Y Tlmei,2
r Nation,2
"latest tract of at least half Its effectiveness."" New Statesman",2
"in vogue appear almost accidental."" ,N Y Times",2
Boston Transcript pH S,2
"bitrarily brought about by the author."" r N Y Times",2
Outlook 122:1G2 My,2
-L A L A Bkl,2
Bookm 71:xxil Ag,2
Books nlo Ag,2
-| Ath pSlo Ag,2
The Times [Londoni Lit Sup,2
"rules of life apply."" A. B. Clarke h Bookm",2
-; N Y Evening Post,2
Bookm 71:rvl Jl,2
terior;,2
San Francisco Chronicle plO O,2
"ergy and she Is not without pictorial power."" h Nation",2
"Chelsea's own affair his ""last and first love""",2
Spririgfd Republican pSB O,2
Chicago Sun pSX S,2
. Outlook,2
-f- Outlook 123:bU7 N,2
San Francisco Chronicle plG O,2
Springfd Republican plOB My,2
NY Times 24:7-13 D,2
"as a cure-all for mankind."" New Repub",2
San Francisco Chronicle pis O,2
. I Kirkus,2
Dial 67:26-1 S,2
Th« Times [London] Lit Sup,2
Nation 108:sup576 Ap,2
Sat R H9:ll.ri Ja,2
Sat R.of Lit,2
BOOK!,2
San Francisco Chronicle pl-i Ap,2
•f- Boston Transcript,2
terial for,2
Spnngf'd Republican pTe My,2
Sat R 1BO:318 S,2
Ath plOS2 O,2
San Francisco Chronicle pig Ag,2
"conscious attempt at an archaic style."" h N Y Times",2
-) ALA Bkl,2
Glenn Hughes.,2
N Y Times :M:270 My,2
'-(-'—'Outlook,2
-j A L A Bkl,2
"19N,4Y180ewa'd Tribune Wkly Bk R",2
NY Evening Port pllm Ap,2
| NY Herald Tribune Wkly Bk R,2
Books iili Je,2
N Y World pBm Ag,2
world from the late,2
Sat K,2
• Liberator,2
i- Sprlngf'd Republican,2
N Y Times 24:4-11 Ag,2
Bookm 71:xvl Mr,2
Bookm 50:1G6 O,2
IMAGIST anthology.,2
N Y Harald Tribune Wkly Bk R,2
Sprlngf'd Republican pll AplS'19140w,2
Sprlngf'd Republican pl7Je!5'19,2
The Crimes [London] Lit Sup,2
: Boston Transcript plO Ag,2
-| ALA Bkl,2
+' Sprlngf'd Republican,2
-j- N Y Best Bks,2
part,2
•i The Times [London] Lit Sup,2
-j Review,2
Boston Transcript F,2
"century life, il",2
H- N Y Tlmet,2
"syte,",2
"people,",2
-t The Time* [London] Lit Sup,2
Chicago Dally Tribune plS N,2
"""t.Zi.mes [London] Lit Sup",2
+'— N Y Evening Post,2
• WIs Lib Bui,2
Sprlngf'd Republican plOA Jl,2
-j Dial,2
Boston Transcript pS F,2
Cleveland Open Shelf plSO D,2
from Wis Lib Bui,2
A L A Ski,2
Bookm 71:xix Mr,2
•+ A L A Bkl,2
"however, are exceedingly well-written."" N Y Times",2
-(• Chicago Sun O,2
"woman at large In the world."" \- Books",2
.: NY Herald Tribune Wkly Bk R,2
"graphical novel."" E. H. Walton Forum",2
^f- Cath World,2
.; Chicago Dally Tribune,2
-r Books plO Ag,2
Dally Tribune,2
erSa?'R of Lit,2
-I Atlantic Bookshelf,2
N Y Herald Tribune WWy Bk R,2
", New Statesman & Nation",2
-I NY World pllm Ap,2
"Cleveland Open Shelf ,p!43 N",2
-| Books pg Mr,2
Boo km 71:xxix Ap,2
New Statetman,2
Books pl-1 S,2
-f- Boston Transcript pi D,2
Bookm 72:43(i D,2
W' R+ Saffl Of Lit,2
Springf'd Republican pSe Ag,2
New Statesman 35:sup xlv My,2
NY Times pS Mr,2
-( Library J,2
-| New Statesman <£. Nation,2
•• Springfd Republican,2
Current Hist 43:xlll O,2
-I Christian Science Monitor plO O,2
Current Hist 41:vii Mr,2
(- sat R of Lit,2
Forum 93:vii Mr,2
"more than superficial."" Graham Greene T Spec",2
N Y Post pll O,2
Current Hist 43:xiil O,2
-! Christian Science Monitor pll S,2
t H NY Times,2
-r- Christian Science Monitor,2
"situation which involves the hero's life."" h Sat R of Lit",2
JM> r^ Books pll D,2
Bootem,2
-/ NY Times,2
Forum 93:vil Je,2
f- New Statesman &. Nation,2
••• Christian Science Monitor,2
Bookm 71:xxvi Mr,2
Springf'd Republican pTe Mr,2
-) Christian Science Monitor pi I F,2
-t- Books pll F,2
N Y Herald Tribune Wkly Bk,2
Forum 94:viii D,2
J New statesman & Nation,2
Klrkus 15:BOC N,2
Ki.kus,2
Sat R of Ltt,2
(- Sat R of Lit G:S56 Mr,2
New Repub S4:lll S,2
Times [LoiKlon] Lit Sup,2
Bookm 72:viii S,2
-I San Franclso Chronicle,2
Sat R of Lit Sl:44 Mr,2
"alarming situations."" N Y Times",2
N Y Time* plG O,2
W Atlantic Bookshelf,2
N Y .Evening Post piOm Mr,2
but when page,2
Weiser. v,2
"with English idioms and schoolboy slang."" r- N Y Times",2
L' ^-f^America,2
"Christian Science Monitor, pie Ag",2
Current Hist 42:vii Jl,2
N Y Evening Post pSs Ag,2
Bookm 72:vili N,2
"his own dramatist."" John Chamberlain h N Y Times",2
-f- Bookm 71:xxvi Ap,2
(- N Y Times p« S,2
"faults, its very vigor commands attention."" h N Y Times",2
-t- Boston Transcript pi Mr,2
"a very good book."" Louis Kronenberger Nation",2
they lire still there in,2
booKm,2
BEST). People of this town.,2
"WHAT Is hell? by W. R. Inge, and others.",2
! New Statesman A Nation,2
Spi Ingf'd Republican,2
Times [London] Lit Sup pHO F,2
"the Fourteenth Britannica."" Malcolm Cowley New Repub",2
"picture scenario than as a novel."" I. O'R. h Boston Transcript",2
stirring adventures will delight,2
-j NY Post,2
Books i.s Mr,2
-!- N Y Times,2
Bookm 71:xxvill Mr,2
-I MY Times,2
v N Y Herald Tribune Wkly Bk R,2
Spritigf'd Republican,2
•- New Statesman & Nation,2
"to the literature of social betterment."" J. McS. h Cath World",2
.oCI!£i;?tian Science Monitor plO Ja,2
N Y Time* pi Ag,2
Current Hist 42:vii Je,2
Christian Science Monitor pig Ap,2
Bookm 71:xxxl Mr,2
"•,- Book*",2
tality of this book. Yet. try as,2
N Y Times pG F,2
Bookm 72:xxlv N,2
N I Y Herald Tribune Wkly Bk R,2
San Francisco Chronicle plC F,2
"n the end, to practically nothing."" C. H. G. Sat R of Lit",2
-( Boston Globe,2
Yale R n s 31:vlil summer,2
(- Current Hist,2
-t Chicago Sun F,2
Christian Science Monitor plfi My,2
Boston Globe PIT Ag;,2
h Atlantic Jl,2
Sprinflf'd Republican plOB D,2
G°°d'Sat R of Lit,2
N Y Time* pll S,2
New Yorker',2
Books DIG My,2
New Ena Q,2
"tour,",2
-) . Bookm,2
Book Week plO Jl,2
Spec 154:sup504 Mr,2
N Y Herald Tribune Wkly R plO N,2
"essential for him to do more."" H. M. Jones Sat R of Lit",2
cahHstian' Science Monitor,2
! • Books,2
h .N Y Times,2
"""^'B^'pTs",2
"In believable terms."" William Du Bois h N Y Times",2
r Yale R n s,2
h Yale R n a,2
Snringf'd Republican,2
I Atlantic Ap,2
Times [London] Lit Sup plS7 Mr,2
Cat'h World,2
Book» plO Ag,2
Springf'd Republican pie D,2
Sat ft of Lit,2
-I NY Times pS S,2
"of their viclousness."" Anthony Boucher f- N Y Times",2
San Francisco Chronicle pig My,2
•- Christian Science Monitor,2
-( Books pG S,2
Books pi! O,2
"least geographically absorbing."" Nation",2
Springf'd Republican pIOB N,2
: _ Books pS My,2
-;- Chicago Sun Book Week,2
-| Times [London! Lit Sup,2
Sprlngf'd Republican pTe Ja,2
-i- Social Forces,2
Chicago Sun Book Week pin N,2
-) Christian Science Monitor plO S,2
Sprmcjfd Republican,2
-\ . Books plO Jl,2
Bt0ry-+ Boston Transcript,2
-t Living Church,2
Stolberg^ Bookg pl Q,2
Bookm 70:xxili F,2
