volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"haberman, helen liebman",haberman. mrs helen (liebman).,83,how about tomorrow ,how about tomorrow morning? [by] helen haberman.,how about tomorrow morning?,how about tomorrow morning?,103,100,1945.0,1945,uc1.$b56752,298
"grazebrook, owen francis","grazebrook, owen francis.",98,nicanor of athens; the autobio,nicanor of athens; the autobiography of an unknown citizen by o. f. grazebrook.,nlcanor of athens; the autobio,nlcanor of athens; the autobiography of an unknown citizen.,103,97,1946.0,1947,uc1.$b784311,2074
"dunsany, edward john moreton drax plunkett, baron","dunsany, edward john moreton drax plunkett, 18th",91,"don rodriguez, chronicl","don rodriguez, chronicles of shadow valley",don rodriguez; chronicles of s,don rodriguez; chronicles of shadow valley.,103,97,1922.0,1922,uc2.ark+=13960=t2d79d58z,2254
"wallace, edgar","wallace, edgar.",97,when the gangs came t,when the gangs came to london ...,when the gangs came to london.,when the gangs came to london.,103,97,1932.0,1932,mdp.39015016781380,3990
"hanson, earl parker","hanson, earl parker, ed.",88,"highroad to adventure, an anth","highroad to adventure, an anthology, edited by earl p. hanson, with introductory notes by the editor.",highroad to adventure; an anth,highroad to adventure; an anthology.,103,97,1941.0,1941,uc1.$b559779,549
"tarasov-rodionov, a. (aleksandr)","tarasov-rodionov, aleksandr ignat'- evich.",73,"february, 1917","february, 1917; a chronicle of the russian revolution [by] aleksei tarasov-rodionov. translated by william a. drake.",february. 1917; a chronicle of,february. 1917; a chronicle of the russian revolution; tr.,103,97,1931.0,1931,mdp.39076005266197,628
"gibbs, willa",gibbs. willa.,88,tell your s,"tell your sons, a novel of the napoleonic era, by willa gibbs.",tell your sons; a novel of the,tell your sons; a novel of the napoleonic era.,103,97,1946.0,1946,uc1.$b102625,4136
"gallico, paul","gallico, paul william.",74,confessions of a story writer ,confessions of a story writer [by] paul gallico.,confessions of a story writer.,confessions of a story writer.,103,97,1946.0,1946,uc1.$b104285,3412
"williamson, henry","williamson, henry.",97,dream of fair wom,the dream of fair women with a valediction to the flax of dream.,dream of fair women; with a va,"dream of fair women; with a valediction to the flax of dream, new ed",103,97,1931.0,1931,mdp.39015019751968,1688
"wells, h. g. (herbert george)","wells, herbert george.",82,meanwhile the picture of ,meanwhile the picture of a lady by h. g. wells.,meanwhile (the picture of a la,meanwhile (the picture of a lady).,103,97,1927.0,1927,mdp.39015030719614,3096
"doyle, arthur conan, sir","doyle, sir arthur con an.",78,maracot deep and other stories,the maracot deep and other stories by arthur conan doyle.,"maracot deep, and other storie","maracot deep, and other stories.",103,97,1929.0,1929,mdp.39015007005666,5776
"patchen, kenneth","patchen, kenneth.",97,memoirs of a shy pornographer ,the memoirs of a shy pornographer an amusement.,memoirs of a shy pornographer;,memoirs of a shy pornographer; an amusement.,103,97,1945.0,1945,mdp.39015000540115,1112
"walpole, hugh, sir","walpole, hugh.",81,above the dark tumul,"above the dark tumult, an adventure.",above the dark tumult; an adve,above the dark tumult; an adventure (eng title: above the dark circus).,103,97,1931.0,1931,mdp.39015030717576,4516
"pritchett, v. s. (victor sawdon)","pritchett, victor sawdon.",84,it may never happen and other ,it may never happen and other stories by v.s. pritchett.,"it may never happen, and other","it may never happen, and other stories.",103,97,1945.0,1947,mdp.39015066681480,3847
"hubbard, lucien","hubbard, lucien.",97,"rivers to the sea, an american","rivers to the sea, an american story by lucien hubbard.",rivers to the sea; an american,rivers to the sea; an american story.,103,97,1942.0,1942,uc1.$b56672,772
"hemingway, ernest","hemingway, ernest, ed.",87,men at war the best war storie,men at war the best war stories of all time edited with an introd. by ernest hemingway ; based on a plan by william kozlenko.,men at war; the best war stori,men at war; the best war stories of all time; with an introd.,103,97,1942.0,1942,pst.000009167490,3779
"felton, harold w","felton, harold w.",97,"pecos bill, texas cowpuncher. ","pecos bill, texas cowpuncher. illus. by aldren auld watson.","pecos bill, texas cowpuncher; ","pecos bill, texas cowpuncher; ii.",103,97,1949.0,1949,inu.39000005868489,1776
"krasnov, p. n. (petr nikolaevich)","krasnov, petr nikolaevich.",85,from double,"from double eagle to red flag, by general p.n. krassnoff, translated from the second russian edition by erik law-gisiko, with an introduction by william gerhardi ...",from double eagle to red flag;,from double eagle to red flag; with an introd.,103,97,1926.0,1926,uc1.$b602093,2266
"tarkington, booth","tarkington, booth.",97,"mr. white, the red barn, hel","mr. white, the red barn, hell, and bridewater by booth tarkington.","mr white, the red barn, hell, ","mr white, the red barn, hell, and bridewater.",103,97,1935.0,1935,mdp.39015031304523,4138
"frisbie, robert dean","frisbie, robert dean.",98,"amaru, a romance ","amaru, a romance of the south seas ...",amaru; a romance of the south ,amaru; a romance of the south seas.,103,97,1945.0,1945,uc1.$b300310,48
"day, clarence","day, clarence shepard.",74,scenes from the m,scenes from the mesozoic and other drawings.,"scenes from the mesozoic, and ","scenes from the mesozoic, and other drawings.",103,97,1935.0,1935,mdp.39015030741279,1009
"dos passos, john","dos passos, john roderigo.",76,tour of duty.,tour of duty. decorations by howard baer.,tour of duty; decorations by h,tour of duty; decorations by howard baer.,103,97,1946.0,1946,mdp.39015027337958,4081
"hurst, fannie","hurst, fannie.",96,star-du,star-dust the story of an american girl by fannie hurst.,star-dust; the story of an ame,"star-dust; the story of an american girl, il",103,97,1921.0,1921,njp.32101063580656,497
"chambers, robert edward stuart","chambers, robert edward stuart.",98,john tom alligator and others.,john tom alligator and others.,"john tom alligator, and others","john tom alligator, and others.",103,97,1937.0,1937,uc1.$b299795,5800
"borchardt, hermann","borchardt, hermann.",97,conspiracy of the ca,the conspiracy of the carpenters historical accounting of a ruling class by hermann borchardt ; translated by barrows mussey ; foreword by franz werfel.,conspiracy of the carpenters; ,conspiracy of the carpenters; historical accounting of a ruling class; tr.,103,97,1943.0,1943,mdp.39015063072329,4216
"dunphy, jack","dunphy, jack.",96,"john fury, a no","john fury, a novel in four parts, by jack dunphy.",john fury; a novel in four par,john fury; a novel in four parts.,103,97,1946.0,1946,uc1.b3687663,4682
"campbell, a. b. (archibald bruce)","campbell, archibald bruce.",85,with the corners off my advent,with the corners off my adventurous life on land and sea by commander a. b. campbell.,with the corners off; my adven,"with the corners off; my adventurous life on land and sea,",103,97,1937.0,1938,uc1.$b557742,4295
"chandler, raymond","chandler, raymond.",97,"spanish blood, a coll","spanish blood, a collection of short stories by raymond chandler.",spanish blood; a collection of,spanish blood; a collection of short stories.,103,97,1946.0,1946,mdp.39015046486679,4040
"crabb, alfred leland","crabb, alfred leland.",98,lodging at the saint cl,"lodging at the saint cloud, a tale of occupied nashville, by alfred leland crabb.",lodging at the saint cloud; a ,lodging at the saint cloud; a tale of occupied nashville.,103,97,1946.0,1946,mdp.39015030741410,830
"nathan, robert","nathan, robert.",97,mr. whittle a,mr. whittle and the morning star [by] robert nathan.,mr whittle and the morning sta,mr whittle and the morning star.,103,97,1947.0,1947,mdp.39015030709896,5655
"cooper, kent","cooper, kent.",96,anna zenger,"anna zenger, mother of freedom by kent cooper.",anna zenger: mother of freedom,anna zenger: mother of freedom.,103,97,1946.0,1946,uc1.$b56411,281
"davis, h. l. (harold lenoir)","davis, harold lenoir.",82,harp of a th,harp of a thousand strings.,harp of a thousand strings.,harp of a thousand strings.,103,100,1947.0,1947,mdp.39015053163393,4171
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,heaven-sent witness and othe,"the heaven-sent witness and other stories, by j. s. fletcher.","heaven-sent witness, and other","heaven-sent witness, and other stories.",103,97,1930.0,1930,mdp.39015063918190,49
"chiang, yee",chiang. yee.,87,silent traveller; a chines,the silent traveller; a chinese artist in lakeland ... by chiang yee ... with a preface by herbert read.,silent traveller: a chinese ar,the silent traveller: a chinese artist in lakeland.,103,97,1938.0,1938,uc1.$b117555,204
"jacobs, w. w. (william wymark)","jacobs, william wymark.",83,"snug harbour, collected storie","snug harbour, collected stories by w. w. jacobs.",snug harbour; collected storie,snug harbour; collected stories.,103,97,1931.0,1931,mdp.39015005076784,671
"jordan, elizabeth garver","jordan, elizabeth garver.",98,"four-flusher, the ","the four-flusher, the story of a woman of action, by elizabeth jordan.",four-flusher; the story of a w,four-flusher; the story of a woman of action.,103,97,1931.0,1931,mdp.39015020087147,262
"johnson, owen","johnson, owen mcmahon.",74,coming of the a,"the coming of the amazons, a satiristic speculation on the scientific future of civilization, by owen johnson.",coming of the amazons; a satir,coming of the amazons; a satiristic speculation on the scientific future of civilization.,103,97,1931.0,1931,mdp.39015024254628,5804
"james, will","james, will.",96,sun up tales of the ,sun up tales of the cow camps by will james.,sun up; tales of the cow camps,sun up; tales of the cow camps.,103,97,1931.0,1931,uc1.b4503967,5259
"ferrero, guglielmo",ferrero. guglielmo.,92,"seven vices, a novel of italy ","the seven vices, a novel of italy in our own times, by guglielmo ferrero, authorized translation by arthur livingston and elisabeth abbott...",seven vices; a novel of italy ,"seven vices; a novel of italy in our own times, auth.",103,97,1929.0,1929,uc1.b3309451,3048
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,"murder at wrides park, being","the murder at wrides park, being entry number one in the case-book of ronald camberwell.",murder at wrides park; being e,murder at wrides park; being entry number one in the case-book of ronald camberwell.,103,97,1931.0,1931,mdp.39015063957198,4900
"delavigne, jeanne",de lav1gne. jeanne.,83,ghost stories of old new orlea,"ghost stories of old new orleans, by jeanne de lavigne.  illustrations by charles richards.",qhost stories of old new orlea,qhost stories of old new orleans: 11.,103,97,1946.0,1946,uc1.$b56923,3012
"weidman, jerome","weidman, jerome.",97,horse that coul,"the horse that could whistle ""dixie"" and other stories by jerome weidman.",horse that could whistle dixie,"the horse that could whistle dixie, and other stories.",103,97,1939.0,1939,uc1.$b106145,2608
"johnston, harry hamilton, sir","johnston, sir harry hamilton.",83,mrs. warre,"mrs. warren's daughter; a story of the woman's movement, by sir harry johnston.",mrs warren's daughter; a story,mrs warren's daughter; a story of the woman's movement.,103,97,1920.0,1920,mdp.39015030755410,146
"baroness, boecop-malye, marie thérèse colette van","boecop-malye, marie therese co- lette, barones",76,"roots, a n","roots, a novel of the dutch east indies, by baroness van boe cop.",roots; a novel of the dutch ea,roots; a novel of the dutch east indies.,103,97,1942.0,1942,uc1.$b86139,3432
"roth, joseph","roth, joseph.",96,"job, the story of a simple man","job, the story of a simple man, by joseph rothtranslated by dorothy thompson.",job; the story of a simple man,job; the story of a simple man; tr.,103,97,1931.0,1931,uc1.$b313769,5082
"huxley, aldous","huxley, aldous leonard.",76,young archime,young archimedes and other stories by aldous huxley.,"young archimedes, and other st","young archimedes, and other stories (eng title little",103,97,1924.0,1925,mdp.39015010441981,2811
"hooker, forrestine cooper","hooker, forrestine cooper.",98,"prince jan, st. ber","prince jan, st. bernard; how a dog from the land of snow made good in the land of no snow, by forrestine c. hooker; illustrations by lynn bogue hunt.","prince jan, st bernard; how a ","prince jan, st bernard; how a dog from the land of snow made good in the land of no snow, il",103,97,1922.0,1921,nyp.33433076023500,265
"hervey, harry","hervey, harry.",96,caravans b,caravans by night a romance of india by harry hervey.,caravans by night; a romance o,caravans by night; a romance of india.,103,97,1922.0,1922,nyp.33433074863170,3079
"goldring, douglas","goldring, douglas.",97,fortune a rom,the fortune a romance of friendship by douglas goldring.,fortune; a romance of friendsh,fortune; a romance of friendship.,103,97,1917.0,1919,mdp.39015003932053,2012
"campbell, william","campbell, william.",97,arctic,"arctic patrols; stories of the royal canadian mounted police, by captain william campbell.",arctic patrols; stories ot the,arctic patrols; stories ot the royal canadian mounted police.,103,97,1936.0,1937,mdp.39015027226102,4640
"calverton, v. f. (victor francis)","calverton, victor francis.",85,man inside being the record of,the man inside being the record of the strange adventures of allen steele among the xulus by v.f. calverton ; illustrations by charles alston.,man inside: being the record o,the man inside: being the record of the strange adventures of allen steele among the xulus; 11.,103,97,1936.0,1936,uc1.$b56345,4073
"gaines, ruth louise","gaines, ruth louise.",97,treasure flower; a child of ja,"treasure flower; a child of japan, by ruth gaines.","treasure flower, a child of ja","treasure flower, a child of japan.",103,97,1916.0,1916,nyp.33433076083629,2613
"frank, josef maria","frank, josef maria.",97,fever heat a drama of divided ,fever heat a drama of divided germany by josef maria frank ; translated by f.h. lyon.,fever heat: a drama of divided,fever heat: a drama of divided germany: tr.,103,97,1932.0,1933,mdp.39015064537346,2066
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,murder in the squire's pew.,murder in the squire's pew.,murder in the squire's pew.,murder in the squire's pew.,103,100,1932.0,1932,mdp.39015063918273,3838
"ekrem, selma","ekrem, selma.",96,unveiled; the autobiography of,"unveiled; the autobiography of a turkish girl, by selma ekrem ....",unveiled: the autobiography of,unveiled: the autobiography of a turkish girl.,103,97,1942.0,1931,coo.31924014022770,2405
"fane, anthony","fane, anthony.",96,"wycliffe-pepin case ""double sh","the wycliffe-pepin case ""double shooting at merrile court"" by anthony fane.","wycliffe-pepin case; ""double s","wycliffe-pepin case; ""double shooting at merrue court.""",103,97,1931.0,1932,pst.000006069773,2535
"eisenberg, frances","eisenberg, frances.",97,my uncle newt drawings by pete,my uncle newt drawings by pete boyle.,my uncle newt; drawings by pet,my uncle newt; drawings by pete boyle.,103,97,1942.0,1942,umn.319510020467322,2540
"fønhus, mikkjel","fonhus, mikkjel.",90,northern lights a tale of spit,northern lights a tale of spitzbergen by mikkjel fonhus ; translated from the norwegian by edith m.g. jayne ; illustrated by james reid.,northern lights; a tale of spi,northern lights; a tale of spitzbergen; tr.,103,97,1931.0,1931,uc1.$b254653,450
"nabokov, vladimir vladimirovich","nabokov, vladimir vladim irovich.",97,real life of s,the real life of sebastian knight vladimir nabokov.,real life of sebastian knight.,real life of sebastian knight.,103,97,1941.0,1941,inu.30000026066542,4233
"newman, bernard","newman, bernard.",97,papa pontivy and ,papa pontivy and the maginot murder.,papa pontivy and the maglnot m,papa pontivy and the maglnot murder [eng title: maginot line murder].,103,97,1940.0,1940,umn.319510019955128,4897
"macnamara, brinsley","macnamara, brinsley.",97,valley of the squinting window,the valley of the squinting windows,valley of the squinting1 windo,valley of the squinting1 windows.,103,97,1919.0,1919,uc2.ark+=13960=t2x34nz6k,1295
"nathan, robert","nathan, robert.",97,journey of ta,journey of tapiola with decorations by georg salter.,journey of tapiola; with decor,journey of tapiola; with decorations by georg salter.,103,97,1938.0,1938,mdp.39015030709904,281
"bernhard, josephine butkowska","bernhard, mrs josephine butkow- ska.",89,lullaby why the pussy-cat wash,lullaby why the pussy-cat washes himself so often a folktale adapted from the polish by josephine b. bernhard ; illus. by irena lorentowicz.,lullaby: why the pussy-cat was,lullaby: why the pussy-cat washes himself so often: a folktale adapted from the polish: 11.,103,97,1944.0,1944,umn.31951000888305j,2468
"caldwell, erskine","caldwell, erskine.",97,"all night long, a no","all night long, a novel of guerrilla warfare in russia.",all night long; a novel of gue,all night long; a novel of guerrilla warfare in russia.,103,97,1942.0,1942,uc1.$b87059,1270
"new, clarence herbert",new clarence herbert.,95,unseen hand adventures of a di,the unseen hand adventures of a diplomatic free lance by clarence herbert new ; illustrated by w. clinton pettee.,unseen hand; adventures of a d,unseen hand; adventures of a diplomatic free lance.,103,97,1918.0,1918,nyp.33433082486170,1607
"de la mare, walter","de la mare, walter john.",86,"collected tales, chosen, and w","collected tales, chosen, and with an introd., by edward wagenknecht.","collected tales; chosen, and w","collected tales; chosen, and with an introd.",103,97,1950.0,1950,uc1.b3834683,5924
"crabb, alfred leland","crabs, alfred leland.",93,dinner at belmont a nov,dinner at belmont a novel of captured nashville by alfred leland crabb.,dinner at belmont; a novel of ,dinner at belmont; a novel of captured nashville.,103,97,1942.0,1942,uc1.b3687283,3953
"hannah, ian c. (ian campbell)",hannah. ian campbell.,80,quaker-born ; a romance of the,quaker-born ; a romance of the great war ian campbell hannah.,quaker-born; a 'romance of the,quaker-born; a 'romance of the great war.,103,97,1916.0,1916,nyp.33433074850979,2339
"crabb, alfred leland","crabb, alfred leland.",98,supper at the maxwell h,"supper at the maxwell house, a novel of recaptured nashville, by alfred leland crabb.",supper at the maxwell house; a,supper at the maxwell house; a novel of recaptured nashville.,103,97,1943.0,1943,uc1.$b56435,1041
"frankau, gilbert","frankau, gilbert.",97,love story of a,"the love story of aliette brunton, by gilbert frankau.",love story of aliette brunton.,love story of aliette brunton.,103,97,1922.0,1922,nyp.33433074854567,1636
"merwin, samuel","merwin, samuel.",97,henry is twenty a furt,"henry is twenty a further episodic history of henry calverly, 3rd by samuel merwin, illustrated by stockton mulford.",henry is twenty; a further epi,"henry is twenty; a further episodic history of henry calverly, 3rd.",103,97,1918.0,1918,nyp.33433076045610,441
"coffin, howard macy","coffin, howard macy.",97,"malta story, based on the diar","malta story, based on the diary and experiences of flying officer howard m. coffic, raf, by w.l. river tihe endpaper map and sample pages from the diary.",malta story; based on the diar,malta story; based on the diary and experiences of [the author] by w.,103,97,1943.0,1943,mdp.39015030666658,3392
"coates, robert m. (robert myron)","coates, robert myron.",75,all the year roun,all the year round a book of stories by robert m. coates.,all the year round; a book of ,all the year round; a book of stories.,103,97,1943.0,1943,mdp.39015060800680,2917
"dorson, richard m. (richard mercer)","dorson, richard mercer, ed.",71,america begins early american ,"america begins early american writing. edited, with an introd., by richard m. dorson.",america begins; early american,america begins; early american writing; with an lntrod.,103,97,1950.0,1950,pst.000065315194,922
"hamilton, cosmo","hamilton, cosmo.",97,joan and th,joan and the babies and i being certain chapters from the autobiography of john mainwaring the novelist by cosmo hamilton ; with illustrations by mary lane mcmillan.,joan and the babies and i; bei,"joan and the babies and i; being certain chapters from the autobiography of john malnwaring, the novelist.",103,97,1917.0,1917,nyp.33433074852553,377
"hewlett, maurice henry","hewlett, maurice henry.",98,gudrid the fa,"gudrid the fair; a tale of the discovery of america, by maurice hewlett.",gudrid the fair: a tale of the,gudrid the fair: a tale of the discovery of america.,103,97,1918.0,1918,nyp.33433074863055,964
"blackburn, william","blackburn, william maxwell, ed.",73,one and twenty; duke na,"one and twenty; duke narrative and verse, 1924-1945, selected by william blackburn, designed and illustrated by pupils of clare leighton.",one and twenty: duke narrative,one and twenty: duke narrative and verse 19241945; designed and 11.,103,97,1945.0,1946,uc1.$b794972,5004
"furman, lucy s",furman. lucy.,81,quare women; a,"the quare women; a story of the kentucky mountains, by lucy furman.",quare women: a story of the ke,quare women: a story of the kentucky mountains.,103,97,1923.0,1923,uc1.$b244217,72
"crabb, alfred leland","crabb, alfred leland.",98,breakfast at the hermit,"breakfast at the hermitage, a novel of nashville rebuilding, by alfred leland crabb.",breakfast at the hermitage; a ,breakfast at the hermitage; a novel of nashville rebuilding.,103,97,1945.0,1945,mdp.39015030741436,832
"burnett, whit","burnett, whit, ed.",84,seas of god great stories of t,the seas of god great stories of the human spirit edited by whit burnett.,seas of god; great stories of ,seas of god; great stories of the human spirit.,103,97,1944.0,1944,mdp.49015000919689,3260
"neumann, alfred","neumann, alfred.",97,hero; the tale of a,the hero; the tale of a political murder ... by alfred neumann; translated from the german by huntley paterson.,hero: the tale of a political ,the hero: the tale of a political murder; tr.,103,97,1931.0,1931,mdp.39015063837986,2167
"nichols, walter hammond","nichols, walter hammond.",98,cowboy hugh the odyssey of a b,cowboy hugh the odyssey of a boy by walter h. nichols ; illustrated by joe deyong.,cowboy hugh; the odyssey of a ,cowboy hugh; the odyssey of a boy.,103,97,1937.0,1927,uc1.b4104035,2842
"cobb, irvin s. (irvin shrewsbury)","cobb, irvin shrewsbury.",79,"cobb's cavalcade, a selection ","cobb's cavalcade, a selection from the writings of irvin s. cobb, edited with an introduction by b. d. zevin.",cobb's cavalcade; a selection ,cobb's cavalcade; a selection from [his] writings; ed by b.,103,97,1944.0,1945,uc1.$b232538,2299
"benét, stephen vincent","benet, stephen vincent.",93,"last circle, stories and poems","the last circle, stories and poems.",last circle; stories and poems,last circle; stories and poems [introd.,103,97,1943.0,1946,mdp.39015020831932,3849
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,strange case of mr. henry ma,"the strange case of mr. henry marchmont, by j. s. fletcher.",strange case of mr henry march,strange case of mr henry marchmont.,103,97,1927.0,1927,mdp.39015063957362,452
"hughes, rupert",hughes. rupert.,90,"momma, and other unimportant p","momma, and other unimportant people, by rupert hughes ...",momma. and other unimportant p,momma. and other unimportant people.,103,97,1920.0,1920,nyp.33433076084536,1851
"blair, walter","blair, walter.",96,tall tale america a legendary ,tall tale america a legendary history of our humorous heroes by walter blair illustrated by sgt. glen rounds.,tall tale america; a legendary,tall tale america; a legendary history of our humorous heroes; 11.,103,97,1944.0,1944,mdp.39015022409075,3471
"fønhus, mikkjel","fonhus, mikkjel.",90,trail of the elk from the norw,the trail of the elk from the norwegian of m. fonhus ; illustrated by harry rountree.,trail of the elk: from the nor,trail of the elk: from the norwegian.,103,97,1923.0,1923,wu.89099488330,2913
"norris, charles gilman","norris, charles oilman.",93,seed [,seed [a novel of birth control] by charles g. norris.,seed; a novel of birth control,seed; a novel of birth control.,103,97,1930.0,1930,mdp.39015059415763,5029
"noble, edward","noble, edward.",96,pulse of darkness a,the pulse of darkness a tale of eastern seas.,pulse of darkness; a tale of e,pulse of darkness; a tale of eastern seas.,103,97,1929.0,1929,umn.319510020516595,3974
"rhodes, eugene manlove","rhodes, eugene manlove.",98,"once in the saddle, and pasó","once in the saddle, and pasó por aquí, by eugene manlove rhodes ...","once in the saddle, and paso p","once in the saddle, and paso por aqul.",103,97,1927.0,1927,uc1.$b405098,4414
"cunningham, albert benjamin","cunningham, albert benjamin.",98,strange death o,the strange death of manny square by a.b. cunningham.,strange death of manny square.,the strange death of manny square.,103,97,1941.0,1941,uc1.$b299910,931
"schwarz, leo w. (leo walder)","schwarz, leo w., ed.",75,jewish caravan great stories o,the jewish caravan great stories of twenty-five centuries selected and edited by leo w. schwarz.,jewish caravan; great stories ,jewish caravan; great stories of twenty-five centuries.,103,97,1967.0,1935,mdp.39015013374106,346
"fletcher, j. s. (joseph smith)","fletcher, joseph smith.",83,secret of the barbican and o,the secret of the barbican and other stories ...,"secret of the barbican, and ot","secret of the barbican, and other stories.",103,97,1924.0,1925,mdp.39015063957503,220
"erskine, john","erskine, john.",96,"tristan and isolde, restoring ","tristan and isolde, restoring palamede, by john erskine.",tristan and isolde; restoring ,tristan and isolde; restoring palamede.,103,97,1932.0,1932,uc1.b3346885,1921
"romanov, panteleĭmon","romanov, panteleimon sergi eevich.",70,three pairs of silk stockings ,three pairs of silk stockings a novel of the life of the educated class under the soviet panteleimon romanof ; translated by leonide zarine ; edited by stephen graham.,three pairs of silk stockings;,three pairs of silk stockings; tr.,103,97,1931.0,1931,uc1.b3940670,4795
"caldwell, erskine","caldwell, erskine.",97,kneel to the rising ,kneel to the rising sun and other stories by erskine caldwell.,"kneel to the rising sun, and o","kneel to the rising sun, and other stories.",103,97,1935.0,1935,mdp.39015031222964,525
"hamilton, cosmo","hamilton, cosmo.",97,damned litt,damned little fool a tragic comedy.,damned little fool; a tragic c,damned little fool; a tragic comedy (eng title: happiness).,103,97,1931.0,1931,umn.31951002096000d,2951
"fisher, vardis","fisher, vardis.",97,"mothers, an ame","the mothers, an american saga of courage, by vardis fisher.",mothers; an american saga of c,the mothers; an american saga of courage.,103,97,1943.0,1943,uc1.$b104245,971
"gregg, cecil freeman","gregg, cecil freeman.",98,"double solution, a ","the double solution, a tale of inspector higgins, by cecil freeman gregg.",double solution; a tale of ins,double solution; a tale of inspector hlggins.,103,97,1932.0,1932,mdp.39015063552221,1980
"evarts, hal g. (hal george)","evarts, hal george.",78,"bald face, ","the bald face, and other animal stories",bald face; and other animal st,"bald face; and other animal stories, il s3 (4c) knopf",103,97,1921.0,1921,uc2.ark+=13960=t46q1v321,2145
"romanov, panteleĭmon","romanov, panteleimon sergieevich.",72,on the volga and other stories,on the volga and other stories [by] panteleimon romanof; translated by ann gretton.,"on the volga, and other storie","on the volga, and other stories; tr.",103,97,1934.0,1934,mdp.39015066986780,2653
"costain, thomas b. (thomas bertram)","costain, thomas bertram.",78,"son of a hundred kings, a nove","son of a hundred kings, a novel of the nineties.",son of a hundred kings; a nove,son of a hundred kings; a novel of the nineties.,103,97,1950.0,1950,mdp.39015018620339,1292
"gill, elizabeth","gill, elizabeth.",97,"crime coast,","the crime coast, a murder mystery of the french riviera.",crime coast; a murder mystery ,crime coast; a murder mystery of the french riviera.,103,97,1931.0,1931,mdp.39015003941856,2190
"forester, c. s. (cecil scott)","forester, cecil scott.",82,"rifleman dodd, and the gun, tw","rifleman dodd, and the gun, two novels of the peninsular wars, by c. s. forester, with a foreword by carl van doren.","rifleman dodd, and the gun; tw","rifleman dodd, and the gun; two novels of the peninsular campaigns.",103,97,1942.0,1943,inu.30000061601567,2070
"flavin, martin","flavin, martin.",97,"corporal cat, the story of a g","corporal cat, the story of a german parachute soldier, by martin flavin",corporal cat; the story of a g,corporal cat; the story of a german parachute soldier.,103,97,1941.0,1941,uc1.$b104462,1832
"fineman, irving","fineman, irving.",97,jacob,"jacob, an autobiographical novel ...",jacob; an autobiographical nov,jacob; an autobiographical novei.,103,97,1941.0,1941,uc1.$b104225,531
"roberts, kenneth lewis","roberts, kenneth lewis.",98,rabble in arm,rabble in arms a chronicle of arundel and the burgoyne invasion by kenneth roberts.,rabble in arms; a chronicle of,rabble in arms; a chronicle of arundel and the burgoyne invasion.,103,97,1933.0,1933,coo.31924086561143,827
"feuchtwanger, lion","feuchtwanger, lion.",97,"devil in france, m","the devil in france, my encounter with him in the summer of 1940, by lion feuchtwanger, translated from the german by elisabeth abbott.",devil in france: my encounter ,the devil in france: my encounter with him in the summer of 1940; tr.,103,97,1941.0,1941,uc1.$b42151,469
"charlton, moyra","charlton, moyra.",97,tally ho the story of an irish,tally ho the story of an irish hunter illustrated by lionel edwards with an introduction by lord lonsdale.,tally ho: the story of an iris,tally ho: the story of an irish hunter; il.,103,97,1930.0,1931,wu.89086116332,140
"wright, richard","wright, richard.",97,"black boy, a record of childho","black boy, a record of childhood and youth by richard wright.",black boy; a record of childho,black boy; a record of childhood and youth.,103,97,1945.0,1945,mdp.39015005857266,4242
"burlingame, roger","burlingame, roger.",97,whittling boy; the story of el,whittling boy; the story of eli whitney.,whittling boy: the story of el,whittling boy: the story of eli whitney.,103,97,1941.0,1941,mdp.39015030853058,1550
"coburn, kathleen","coburn, kathleen.",97,grandmothers. with drawings by,the grandmothers. with drawings by john a. hall.,grandmothers: with drawings by,the grandmothers: with drawings by john a.,103,97,1949.0,1950,mdp.39015016446299,1690
"bailey, bernadine","bailey, mrs bernadine freeman.",72,abe lincoln's other mother the,abe lincoln's other mother the story of sarah bush lincoln by bernadine bailey ; illustrated by howard simon.,abe lincoln's other mother; th,abe lincoln's other mother; the story of sarah bush lincoln; 11.,103,97,1941.0,1942,inu.39000003568255,1561
"cicellis, kay","cicellis, kay.",96,easy way. with a foreword by v,the easy way. with a foreword by v. sackville-west.,easy way; with a foreword by v,the easy way; with a foreword by v.,103,97,1950.0,1950,uc1.$b236282,611
"dyer, george bell","dyer, george.",80,catalyst club a m,the catalyst club a murder mystery george dyer.,catalyst club; a murder myster,catalyst club; a murder mystery.,103,97,1936.0,1936,uc1.$b300188,1889
"pirandello, luigi","pirandello, luiqi.",91,naked truth and eleven other s,"the naked truth and eleven other stories, by luigi pirandello ... translated by arthur and henrie mayne.","naked truth, and eleven other ","naked truth, and eleven other stories; tr.",103,97,1934.0,1934,mdp.39015010204546,4953
"fabricius, johan","fabricius, johan wigmore.",78,hotel vesuvius a gay novel of ,"hotel vesuvius a gay novel of grapes, wine and sunshine /",hotel vesuvius; a gay novel of,"hotel vesuvius; a gay novel of grapes, wine and sunshine; tr.",103,97,1945.0,1947,mdp.39015030772704,2674
